countyFIPS,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
29197,1896,1896,457,24.1,370,19.5,371,19.6,258,13.6,440,23.2
29199,2092,2092,752,35.9,298,14.2,357,17.1,405,19.4,280,13.4
29201,16789,16789,4697,28.0,3080,18.3,3832,22.8,1975,11.8,3205,19.1
29203,2903,2903,765,26.4,440,15.2,382,13.2,452,15.6,864,29.8
29205,2945,2945,874,29.7,494,16.8,582,19.8,457,15.5,538,18.3
29207,12599,12599,3577,28.4,1952,15.5,2753,21.9,1577,12.5,2740,21.7
29209,12088,12088,3306,27.3,2447,20.2,3040,25.1,1684,13.9,1611,13.3
29211,2648,2648,671,25.3,389,14.7,404,15.3,335,12.7,849,32.1
29213,24618,24618,7313,29.7,5775,23.5,6928,28.1,2073,8.4,2529,10.3
29215,8695,8695,2515,28.9,1767,20.3,1657,19.1,1397,16.1,1359,15.6
29217,9527,9527,3191,33.5,1592,16.7,1934,20.3,1252,13.1,1558,16.4
29219,14974,14974,4119,27.5,2439,16.3,3332,22.3,2406,16.1,2678,17.9
29221,9032,9032,2059,22.8,1912,21.2,1792,19.8,1342,14.9,1927,21.3
29223,4236,4236,1120,26.4,980,23.1,751,17.7,497,11.7,888,21.0
29225,15534,15534,4021,25.9,2406,15.5,3458,22.3,2325,15.0,3324,21.4
29227,924,924,264,28.6,158,17.1,195,21.1,160,17.3,147,15.9
29229,6688,6688,1622,24.3,1367,20.4,1236,18.5,951,14.2,1512,22.6
29510,153691,153691,64383,41.9,34116,22.2,30683,20.0,7323,4.8,17186,11.2
30001,4706,4706,1583,33.6,950,20.2,992,21.1,706,15.0,475,10.1
30003,4725,4725,1698,35.9,1051,22.2,918,19.4,720,15.2,338,7.2
30005,2577,2577,1025,39.8,376,14.6,583,22.6,388,15.1,205,8.0
30007,2686,2686,904,33.7,502,18.7,467,17.4,449,16.7,364,13.6
30009,5208,5208,2074,39.8,1013,19.5,947,18.2,789,15.1,385,7.4
30011,643,643,306,47.6,76,11.8,85,13.2,132,20.5,44,6.8
30013,36909,36909,13124,35.6,7283,19.7,8573,23.2,3951,10.7,3978,10.8
30015,2516,2516,990,39.3,494,19.6,439,17.4,333,13.2,260,10.3
30017,6463,6463,2159,33.4,1153,17.8,1720,26.6,715,11.1,716,11.1
30019,876,876,419,47.8,127,14.5,172,19.6,112,12.8,46,5.3
30021,4928,4928,1700,34.5,1095,22.2,731,14.8,792,16.1,610,12.4
30023,3667,3667,1112,30.3,977,26.6,745,20.3,465,12.7,368,10.0
30025,1530,1530,454,29.7,262,17.1,254,16.6,365,23.9,195,12.7
30027,5735,5735,2102,36.7,893,15.6,1485,25.9,790,13.8,465,8.1
30029,47354,47354,16402,34.6,8691,18.4,11042,23.3,5987,12.6,5232,11.0
30031,59736,59736,24400,40.8,10803,18.1,11830,19.8,7017,11.7,5686,9.5
30033,617,617,279,45.2,51,8.3,127,20.6,118,19.1,42,6.8
30035,4646,4646,1813,39.0,1055,22.7,818,17.6,578,12.4,382,8.2
30037,353,353,147,41.6,62,17.6,44,12.5,58,16.4,42,11.9
30039,1231,1231,438,35.6,325,26.4,159,12.9,159,12.9,150,12.2
30041,7171,7171,2651,37.0,1315,18.3,1301,18.1,890,12.4,1014,14.1
30043,5400,5400,2313,42.8,823,15.2,1113,20.6,618,11.4,533,9.9
30045,984,984,394,40.0,151,15.3,152,15.4,207,21.0,80,8.1
30047,12300,12300,4286,34.8,2531,20.6,2397,19.5,1566,12.7,1520,12.4
30049,34454,34454,15692,45.5,5749,16.7,7480,21.7,2697,7.8,2836,8.2
30051,1126,1126,297,26.4,277,24.6,230,20.4,251,22.3,71,6.3
30053,6802,6802,2021,29.7,1371,20.2,1482,21.8,1188,17.5,740,10.9
30055,783,783,419,53.5,50,6.4,131,16.7,157,20.1,26,3.3
30057,4023,4023,1355,33.7,807,20.1,610,15.2,836,20.8,415,10.3
30059,980,980,384,39.2,156,15.9,138,14.1,221,22.6,81,8.3
30061,1583,1583,374,23.6,268,16.9,516,32.6,240,15.2,185,11.7
30063,64178,64178,24609,38.3,13388,20.9,14421,22.5,6038,9.4,5722,8.9
30065,1781,1781,495,27.8,242,13.6,458,25.7,347,19.5,239,13.4
30067,8327,8327,2816,33.8,1702,20.4,1672,20.1,1333,16.0,804,9.7
30069,228,228,135,59.2,14,6.1,26,11.4,49,21.5,4,1.8
30071,1723,1723,563,32.7,306,17.8,337,19.6,342,19.8,175,10.2
30073,2560,2560,970,37.9,472,18.4,531,20.7,388,15.2,199,7.8
30075,965,965,332,34.4,132,13.7,170,17.6,248,25.7,83,8.6
30077,2594,2594,1074,41.4,477,18.4,367,14.1,438,16.9,238,9.2
30079,604,604,282,46.7,69,11.4,119,19.7,105,17.4,29,4.8
30081,18010,18010,6439,35.8,3289,18.3,3441,19.1,2703,15.0,2138,11.9
30083,6090,6090,1896,31.1,851,14.0,1252,20.6,1298,21.3,793,13.0
30085,3884,3884,1265,32.6,953,24.5,694,17.9,515,13.3,457,11.8
30087,3883,3883,1300,33.5,907,23.4,426,11.0,803,20.7,447,11.5
30089,4049,4049,1231,30.4,936,23.1,701,17.3,589,14.5,592,14.6
30091,1855,1855,700,37.7,311,16.8,382,20.6,278,15.0,184,9.9
30093,16396,16396,5552,33.9,3977,24.3,3197,19.5,1406,8.6,2264,13.8
30095,4475,4475,1386,31.0,708,15.8,785,17.5,819,18.3,777,17.4
30097,1628,1628,538,33.0,265,16.3,258,15.8,338,20.8,229,14.1
30099,2661,2661,982,36.9,403,15.1,460,17.3,541,20.3,275,10.3
30101,2181,2181,732,33.6,512,23.5,364,16.7,377,17.3,196,9.0
30103,379,379,157,41.4,44,11.6,75,19.8,89,23.5,14,3.7
30105,3808,3808,1368,35.9,492,12.9,1018,26.7,538,14.1,392,10.3
30107,975,975,311,31.9,162,16.6,184,18.9,225,23.1,93,9.5
30109,567,567,242,42.7,66,11.6,104,18.3,102,18.0,53,9.3
30111,80736,80736,27853,34.5,15200,18.8,17657,21.9,9748,12.1,10278,12.7
31001,15946,15946,5368,33.7,3018,18.9,2988,18.7,1589,10.0,2983,18.7
31003,3232,3232,1088,33.7,512,15.8,634,19.6,545,16.9,453,14.0
31005,196,196,97,49.5,15,7.7,33,16.8,40,20.4,11,5.6
31007,405,405,247,61.0,24,5.9,43,10.6,66,16.3,25,6.2
31009,264,264,119,45.1,29,11.0,28,10.6,65,24.6,23,8.7
31011,2862,2862,996,34.8,545,19.0,448,15.7,445,15.5,428,15.0
31013,5332,5332,1633,30.6,705,13.2,952,17.9,779,14.6,1263,23.7
31015,1002,1002,435,43.4,98,9.8,160,16.0,188,18.8,121,12.1
31017,1517,1517,550,36.3,348,22.9,277,18.3,182,12.0,160,10.5
31019,27694,27694,9186,33.2,5076,18.3,6412,23.2,2629,9.5,4391,15.9
31021,3028,3028,1017,33.6,475,15.7,673,22.2,519,17.1,344,11.4
31023,4187,4187,1218,29.1,687,16.4,703,16.8,563,13.4,1016,24.3
31025,13225,13225,4674,35.3,1865,14.1,3192,24.1,1789,13.5,1705,12.9
31027,4538,4538,1613,35.5,708,15.6,925,20.4,597,13.2,695,15.3
31029,2018,2018,718,35.6,231,11.4,448,22.2,346,17.1,275,13.6
31031,3173,3173,1144,36.1,512,16.1,642,20.2,499,15.7,376,11.8
31033,5354,5354,2109,39.4,1023,19.1,1029,19.2,462,8.6,731,13.7
31035,3023,3023,925,30.6,439,14.5,522,17.3,565,18.7,572,18.9
31037,5337,5337,1379,25.8,590,11.1,741,13.9,745,14.0,1882,35.3
31039,4687,4687,1500,32.0,662,14.1,902,19.2,806,17.2,817,17.4
31041,5517,5517,1753,31.8,1145,20.8,937,17.0,944,17.1,738,13.4
31043,10275,10275,1964,19.1,1900,18.5,2139,20.8,1327,12.9,2945,28.7
31045,4587,4587,1777,38.7,880,19.2,974,21.2,477,10.4,479,10.4
31047,12194,12194,3047,25.0,1809,14.8,2283,18.7,1360,11.2,3695,30.3
31049,928,928,311,33.5,188,20.3,181,19.5,79,8.5,169,18.2
31051,2941,2941,844,28.7,480,16.3,537,18.3,489,16.6,591,20.1
31053,18723,18723,5236,28.0,3314,17.7,4413,23.6,2130,11.4,3630,19.4
31055,288884,288884,118120,40.9,46985,16.3,68893,23.8,21678,7.5,33208,11.5
31057,939,939,357,38.0,144,15.3,187,19.9,165,17.6,86,9.2
31059,2811,2811,990,35.2,398,14.2,593,21.1,440,15.7,390,13.9
31061,1498,1498,499,33.3,208,13.9,325,21.7,202,13.5,264,17.6
31063,1254,1254,428,34.1,196,15.6,271,21.6,250,19.9,109,8.7
31065,2384,2384,886,37.2,361,15.1,441,18.5,334,14.0,362,15.2
31067,11016,11016,3591,32.6,1884,17.1,2058,18.7,1201,10.9,2282,20.7
31069,865,865,381,44.0,100,11.6,142,16.4,138,16.0,104,12.0
31071,1018,1018,367,36.1,164,16.1,205,20.1,151,14.8,131,12.9
31073,1101,1101,349,31.7,143,13.0,247,22.4,170,15.4,192,17.4
31075,359,359,125,34.8,48,13.4,69,19.2,83,23.1,34,9.5
31077,1190,1190,420,35.3,177,14.9,248,20.8,236,19.8,109,9.2
31079,31413,31413,8509,27.1,5371,17.1,6733,21.4,3376,10.7,7424,23.6
31081,4880,4880,1790,36.7,801,16.4,1017,20.8,476,9.8,796,16.3
31083,1646,1646,590,35.8,251,15.2,349,21.2,259,15.7,197,12.0
31085,494,494,231,46.8,59,11.9,64,13.0,78,15.8,62,12.6
31087,1315,1315,375,28.5,252,19.2,312,23.7,171,13.0,205,15.6
31089,5655,5655,2146,37.9,900,15.9,1096,19.4,764,13.5,749,13.2
31091,282,282,98,34.8,63,22.3,47,16.7,49,17.4,25,8.9
31093,3331,3331,1222,36.7,460,13.8,725,21.8,354,10.6,570,17.1
31095,3558,3558,1088,30.6,527,14.8,812,22.8,462,13.0,669,18.8
31097,2117,2117,704,33.3,403,19.0,380,17.9,301,14.2,329,15.5
31099,3420,3420,1137,33.2,542,15.8,590,17.3,529,15.5,622,18.2
31101,4142,4142,1259,30.4,815,19.7,961,23.2,548,13.2,559,13.5
31103,457,457,235,51.4,36,7.9,92,20.1,77,16.8,17,3.7
31105,1734,1734,420,24.2,259,14.9,464,26.8,166,9.6,425,24.5
31107,4249,4249,1545,36.4,689,16.2,849,20.0,638,15.0,528,12.4
31109,169556,169556,68970,40.7,29218,17.2,38337,22.6,12811,7.6,20220,11.9
31111,17242,17242,5388,31.2,2812,16.3,3538,20.5,2463,14.3,3041,17.6
31113,451,451,134,29.7,56,12.4,76,16.9,105,23.3,80,17.7
31115,305,305,149,48.9,36,11.8,36,11.8,34,11.1,50,16.4
31117,222,222,85,38.3,31,14.0,56,25.2,26,11.7,24,10.8
31119,18521,18521,5597,30.2,3174,17.1,3564,19.2,2248,12.1,3938,21.3
31121,4091,4091,1369,33.5,681,16.6,666,16.3,600,14.7,775,18.9
31123,2382,2382,696,29.2,403,16.9,448,18.8,526,22.1,309,13.0
31125,1760,1760,603,34.3,247,14.0,370,21.0,240,13.6,300,17.0
31127,3401,3401,1105,32.5,654,19.2,720,21.2,500,14.7,422,12.4
31129,2224,2224,835,37.5,408,18.3,438,19.7,257,11.6,286,12.9
31131,8223,8223,2617,31.8,1488,18.1,1700,20.7,1109,13.5,1309,15.9
31133,1213,1213,419,34.5,199,16.4,211,17.4,177,14.6,207,17.1
31135,1497,1497,579,38.7,202,13.5,331,22.1,255,17.0,130,8.7
31137,4788,4788,1619,33.8,853,17.8,834,17.4,644,13.5,838,17.5
31139,3787,3787,1295,34.2,475,12.5,710,18.7,552,14.6,755,19.9
31141,17724,17724,5550,31.3,2323,13.1,3409,19.2,2125,12.0,4317,24.4
31143,2630,2630,939,35.7,423,16.1,516,19.6,358,13.6,394,15.0
31145,5727,5727,1507,26.3,1144,20.0,1345,23.5,626,10.9,1105,19.3
31147,4010,4010,1436,35.8,712,17.8,585,14.6,601,15.0,676,16.9
31149,752,752,290,38.6,131,17.4,151,20.1,125,16.6,55,7.3
31151,7085,7085,1666,23.5,1396,19.7,1083,15.3,1037,14.6,1903,26.9
31153,93923,93923,41127,43.8,14756,15.7,20803,22.1,7643,8.1,9594,10.2
31155,10935,10935,3795,34.7,1837,16.8,2152,19.7,1453,13.3,1698,15.5
31157,17505,17505,5388,30.8,3041,17.4,4140,23.7,2182,12.5,2754,15.7
31159,8947,8947,3409,38.1,1303,14.6,1567,17.5,1135,12.7,1533,17.1
31161,2614,2614,944,36.1,463,17.7,500,19.1,340,13.0,367,14.0
31163,1536,1536,513,33.4,242,15.8,248,16.1,241,15.7,292,19.0
31165,658,658,363,55.2,50,7.6,108,16.4,104,15.8,33,5.0
31167,3191,3191,867,27.2,581,18.2,642,20.1,450,14.1,651,20.4
31169,2607,2607,909,34.9,425,16.3,540,20.7,346,13.3,387,14.8
31171,356,356,116,32.6,38,10.7,78,21.9,82,23.0,42,11.8
31173,2635,2635,1031,39.1,471,17.9,523,19.8,287,10.9,323,12.3
31175,2214,2214,841,38.0,316,14.3,486,22.0,337,15.2,234,10.6
31177,10380,10380,3755,36.2,1380,13.3,2813,27.1,1236,11.9,1196,11.5
31179,5464,5464,1931,35.3,936,17.1,1248,22.8,661,12.1,688,12.6
31181,1734,1734,641,37.0,234,13.5,316,18.2,309,17.8,234,13.5
31183,461,461,140,30.4,61,13.2,64,13.9,113,24.5,83,18.0
31185,6888,6888,2606,37.8,966,14.0,1495,21.7,865,12.6,956,13.9
32001,9320,9320,3000,32.2,1904,20.4,1806,19.4,1352,14.5,1258,13.5
32003,1003320,1003320,280178,27.9,286052,28.5,248000,24.7,79777,8.0,109313,10.9
32005,20933,20933,7583,36.2,4862,23.2,4401,21.0,1907,9.1,2180,10.4
32007,26171,26171,7079,27.0,5159,19.7,5025,19.2,5395,20.6,3513,13.4
32009,388,388,108,27.8,58,14.9,56,14.4,107,27.6,59,15.2
32011,961,961,283,29.4,138,14.4,165,17.2,226,23.5,149,15.5
32013,8539,8539,2070,24.2,1068,12.5,1901,22.3,1933,22.6,1567,18.4
32015,2597,2597,649,25.0,408,15.7,325,12.5,881,33.9,334,12.9
32017,1782,1782,650,36.5,407,22.8,356,20.0,290,16.3,79,4.4
32019,21969,21969,5434,24.7,4185,19.0,5053,23.0,2763,12.6,4534,20.6
32021,1732,1732,405,23.4,341,19.7,354,20.4,350,20.2,282,16.3
32023,14762,14762,3482,23.6,3617,24.5,3369,22.8,2310,15.6,1984,13.4
32027,2022,2022,787,38.9,227,11.2,350,17.3,352,17.4,306,15.1
32029,1664,1664,475,28.5,336,20.2,497,29.9,195,11.7,161,9.7
32031,225689,225689,77211,34.2,45996,20.4,52788,23.4,18848,8.4,30846,13.7
32033,3656,3656,1296,35.4,778,21.3,520,14.2,729,19.9,333,9.1
32510,25098,25098,7906,31.5,5371,21.4,5489,21.9,2703,10.8,3629,14.5
33001,30946,30946,11845,38.3,5401,17.5,7033,22.7,3318,10.7,3349,10.8
33003,23636,23636,7654,32.4,4731,20.0,5457,23.1,3194,13.5,2600,11.0
33005,40161,40161,15385,38.3,7168,17.8,8351,20.8,3766,9.4,5491,13.7
33007,14544,14544,4767,32.8,3220,22.1,3129,21.5,1506,10.4,1922,13.2
33009,46707,46707,19619,42.0,9204,19.7,8833,18.9,4303,9.2,4748,10.2
33011,224741,224741,93173,41.5,34218,15.2,52769,23.5,17171,7.6,27410,12.2
33013,78874,78874,31365,39.8,13354,16.9,17522,22.2,7214,9.1,9419,11.9
33015,173214,173214,76118,43.9,23870,13.8,40118,23.2,13778,8.0,19330,11.2
33017,69879,69879,26693,38.2,12352,17.7,15927,22.8,5383,7.7,9524,13.6
33019,21315,21315,7556,35.4,3234,15.2,4717,22.1,1959,9.2,3849,18.1
34001,127434,127434,40339,31.7,37084,29.1,27644,21.7,10397,8.2,11970,9.4
34003,476034,476034,229033,48.1,62902,13.2,112621,23.7,30326,6.4,41152,8.6
34005,222818,222818,98307,44.1,32470,14.6,54656,24.5,14178,6.4,23207,10.4
34007,247509,247509,98762,39.9,42716,17.3,58871,23.8,16721,6.8,30439,12.3
34009,41593,41593,14507,34.9,9336,22.4,9893,23.8,4381,10.5,3476,8.4
34011,62928,62928,16634,26.4,13379,21.3,12376,19.7,8130,12.9,12409,19.7
34013,373790,373790,144803,38.7,74894,20.0,80822,21.6,26559,7.1,46712,12.5
34015,147707,147707,63088,42.7,21710,14.7,33666,22.8,12664,8.6,16579,11.2
34017,352378,352378,143998,40.9,62756,17.8,73093,20.7,21545,6.1,50986,14.5
34019,66375,66375,34801,52.4,8607,13.0,14259,21.5,4707,7.1,4001,6.0
34021,180710,180710,81812,45.3,30665,17.0,38163,21.1,10581,5.9,19489,10.8
34023,405537,405537,184855,45.6,54589,13.5,88212,21.8,26595,6.6,51286,12.6
34025,315831,315831,143262,45.4,47920,15.2,75019,23.8,23931,7.6,25699,8.1
34027,261479,261479,136261,52.1,32536,12.4,59700,22.8,13532,5.2,19450,7.4
34029,256360,256360,92528,36.1,47710,18.6,67523,26.3,25245,9.8,23354,9.1
34031,238879,238879,78422,32.8,40625,17.0,54782,22.9,18528,7.8,46522,19.5
34033,29352,29352,9758,33.2,4611,15.7,6294,21.4,3516,12.0,5173,17.6
34035,173381,173381,92974,53.6,22002,12.7,36873,21.3,8466,4.9,13066,7.5
34037,75439,75439,29936,39.7,12284,16.3,18280,24.2,7505,9.9,7434,9.9
34039,279881,279881,106084,37.9,46771,16.7,63943,22.8,20639,7.4,42444,15.2
34041,55187,55187,20260,36.7,9263,16.8,13253,24.0,5242,9.5,7169,13.0
35001,315193,315193,128984,40.9,62830,19.9,71453,22.7,25735,8.2,26191,8.3
35003,842,842,254,30.2,56,6.7,293,34.8,182,21.6,57,6.8
35005,26629,26629,7157,26.9,5993,22.5,6056,22.7,3979,14.9,3444,12.9
35006,9537,9537,2713,28.4,2650,27.8,2084,21.9,1126,11.8,964,10.1
35007,4737,4737,1589,33.5,1132,23.9,965,20.4,672,14.2,379,8.0
35009,20673,20673,5996,29.0,3836,18.6,4040,19.5,3447,16.7,3354,16.2
35011,748,748,246,32.9,126,16.8,99,13.2,157,21.0,120,16.0
35013,88450,88450,28811,32.6,21927,24.8,20313,23.0,9262,10.5,8137,9.2
35015,26013,26013,6836,26.3,4399,16.9,5936,22.8,4842,18.6,4000,15.4
35017,10473,10473,3521,33.6,2736,26.1,1939,18.5,1458,13.9,819,7.8
35019,1311,1311,423,32.3,323,24.6,439,33.5,91,6.9,35,2.7
35021,154,154,75,48.7,25,16.2,13,8.4,28,18.2,13,8.4
35023,1541,1541,317,20.6,473,30.7,330,21.4,224,14.5,197,12.8
35025,28674,28674,7142,24.9,4533,15.8,6100,21.3,5585,19.5,5314,18.5
35027,6979,6979,2093,30.0,1610,23.1,1894,27.1,736,10.5,646,9.3
35028,9516,9516,6581,69.2,1104,11.6,1114,11.7,383,4.0,334,3.5
35029,7658,7658,1602,20.9,1869,24.4,1592,20.8,1192,15.6,1403,18.3
35031,23614,23614,7149,30.3,6047,25.6,4948,21.0,2137,9.0,3333,14.1
35033,1399,1399,349,24.9,410,29.3,209,14.9,133,9.5,298,21.3
35035,23841,23841,6548,27.5,5938,24.9,5479,23.0,3709,15.6,2167,9.1
35037,2846,2846,995,35.0,599,21.0,613,21.5,277,9.7,362,12.7
35039,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
35041,7957,7957,2581,32.4,1549,19.5,1715,21.6,990,12.4,1122,14.1
35043,60468,60468,22802,37.7,11103,18.4,15257,25.2,6322,10.5,4984,8.2
35045,50732,50732,14628,28.8,9491,18.7,11904,23.5,8180,16.1,6529,12.9
35047,9714,9714,3620,37.3,2346,24.2,1888,19.4,1133,11.7,727,7.5
35049,70648,70648,30602,43.3,13404,19.0,15192,21.5,6126,8.7,5324,7.5
35051,3619,3619,1214,33.5,743,20.5,809,22.4,484,13.4,369,10.2
35053,5579,5579,2286,41.0,1131,20.3,1139,20.4,474,8.5,549,9.8
35055,13666,13666,4333,31.7,3727,27.3,3381,24.7,1508,11.0,717,5.2
35057,5712,5712,1679,29.4,1075,18.8,1320,23.1,898,15.7,740,13.0
35059,1588,1588,524,33.0,421,26.5,234,14.7,191,12.0,218,13.7
35061,29040,29040,8515,29.3,6360,21.9,6281,21.6,4115,14.2,3769,13.0
36001,159756,159756,72498,45.4,28366,17.8,37424,23.4,8272,5.2,13196,8.3
36003,20029,20029,6357,31.7,4204,21.0,3771,18.8,2146,10.7,3551,17.7
36005,595657,595657,151038,25.4,199775,33.5,130727,21.9,41393,6.9,72724,12.2
36007,87190,87190,33162,38.0,17195,19.7,19671,22.6,5907,6.8,11255,12.9
36009,33610,33610,10277,30.6,6569,19.5,7650,22.8,3523,10.5,5591,16.6
36011,36489,36489,12699,34.8,6746,18.5,7766,21.3,3968,10.9,5310,14.6
36013,56021,56021,17020,30.4,11040,19.7,11477,20.5,5332,9.5,11152,19.9
36015,37261,37261,13165,35.3,7783,20.9,8029,21.5,2966,8.0,5318,14.3
36017,21902,21902,7087,32.4,3742,17.1,4500,20.5,2477,11.3,4096,18.7
36019,36060,36060,11790,32.7,7800,21.6,7723,21.4,3199,8.9,5548,15.4
36021,29545,29545,11190,37.9,5863,19.8,6039,20.4,3098,10.5,3355,11.4
36023,23525,23525,8359,35.5,5189,22.1,4932,21.0,2243,9.5,2802,11.9
36025,20204,20204,6613,32.7,3938,19.5,4074,20.2,2282,11.3,3297,16.3
36027,144058,144058,57468,39.9,28256,19.6,31670,22.0,13474,9.4,13190,9.2
36029,449109,449109,176590,39.3,82484,18.4,107338,23.9,28887,6.4,53810,12.0
36031,17294,17294,5559,32.1,4114,23.8,3649,21.1,1898,11.0,2074,12.0
36033,20209,20209,6410,31.7,5335,26.4,3851,19.1,1965,9.7,2648,13.1
36035,24360,24360,7178,29.5,4934,20.3,5178,21.3,2404,9.9,4666,19.2
36037,29897,29897,9143,30.6,5340,17.9,6616,22.1,3526,11.8,5272,17.6
36039,20292,20292,6708,33.1,3847,19.0,4614,22.7,2012,9.9,3111,15.3
36041,1946,1946,479,24.6,473,24.3,358,18.4,466,23.9,170,8.7
36043,28627,28627,9002,31.4,5765,20.1,6228,21.8,3014,10.5,4618,16.1
36045,44760,44760,14713,32.9,9736,21.8,9827,22.0,5630,12.6,4854,10.8
36047,1217624,1217624,510173,41.9,276554,22.7,246463,20.2,72875,6.0,111559,9.2
36049,11711,11711,3542,30.2,2080,17.8,2002,17.1,2099,17.9,1988,17.0
36051,28822,28822,10158,35.2,5298,18.4,5922,20.5,3366,11.7,4078,14.1
36053,33712,33712,12358,36.7,6644,19.7,6785,20.1,3337,9.9,4588,13.6
36055,367045,367045,159156,43.4,63773,17.4,81567,22.2,20468,5.6,42081,11.5
36057,21536,21536,6605,30.7,4010,18.6,4774,22.2,2076,9.6,4071,18.9
36059,684098,684098,311133,45.5,109670,16.0,165519,24.2,44127,6.5,53649,7.8
36061,897040,897040,541357,60.3,125636,14.0,171366,19.1,20278,2.3,38403,4.3
36063,100682,100682,33838,33.6,17896,17.8,25058,24.9,8871,8.8,15019,14.9
36065,102319,102319,36788,36.0,21500,21.0,22348,21.8,8321,8.1,13362,13.1
36067,220979,220979,92039,41.7,38182,17.3,53156,24.1,14473,6.5,23129,10.5
36069,54358,54358,22610,41.6,8784,16.2,11858,21.8,4668,8.6,6438,11.8
36071,174834,174834,62811,35.9,33711,19.3,41866,23.9,14329,8.2,22117,12.7
36073,18161,18161,5278,29.1,3484,19.2,3718,20.5,2274,12.5,3407,18.8
36075,53360,53360,16246,30.4,10672,20.0,11336,21.2,6426,12.0,8680,16.3
36077,28171,28171,10207,36.2,5440,19.3,6332,22.5,2860,10.2,3332,11.8
36079,51066,51066,21765,42.6,8439,16.5,11904,23.3,5033,9.9,3925,7.7
36081,1131527,1131527,383959,33.9,276286,24.4,246928,21.8,92975,8.2,131379,11.6
36083,81001,81001,32470,40.1,13700,16.9,19023,23.5,6620,8.2,9188,11.3
36085,211293,211293,86696,41.0,40287,19.1,46533,22.0,18414,8.7,19363,9.2
36087,148410,148410,66795,45.0,28089,18.9,32700,22.0,9660,6.5,11166,7.5
36089,44275,44275,15526,35.1,10238,23.1,8752,19.8,4851,11.0,4908,11.1
36091,118824,118824,54856,46.2,17597,14.8,26455,22.3,9002,7.6,10914,9.2
36093,73563,73563,28548,38.8,13719,18.6,18219,24.8,4764,6.5,8313,11.3
36095,14488,14488,5229,36.1,2554,17.6,2972,20.5,1921,13.3,1812,12.5
36097,8397,8397,2921,34.8,1588,18.9,1495,17.8,973,11.6,1420,16.9
36099,15571,15571,5164,33.2,2911,18.7,3440,22.1,1718,11.0,2338,15.0
36101,42997,42997,14846,34.5,7892,18.4,7956,18.5,4981,11.6,7322,17.0
36103,744693,744693,291625,39.2,128090,17.2,181948,24.4,68663,9.2,74367,10.0
36105,32846,32846,10655,32.4,7627,23.2,6518,19.8,3857,11.7,4189,12.8
36107,23065,23065,8306,36.0,4436,19.2,4766,20.7,2211,9.6,3346,14.5
36109,50250,50250,26019,51.8,8729,17.4,9708,19.3,2790,5.6,3004,6.0
36111,86733,86733,33448,38.6,16720,19.3,19617,22.6,8218,9.5,8730,10.1
36113,31937,31937,11367,35.6,6302,19.7,7707,24.1,2696,8.4,3865,12.1
36115,28537,28537,8639,30.3,5450,19.1,5951,20.9,3797,13.3,4700,16.5
36117,43779,43779,14520,33.2,6769,15.5,10161,23.2,4772,10.9,7557,17.3
36119,479775,479775,228757,47.7,88646,18.5,96557,20.1,34027,7.1,31788,6.6
36121,18562,18562,5602,30.2,3617,19.5,3732,20.1,2773,14.9,2838,15.3
36123,11181,11181,3607,32.3,2131,19.1,2118,18.9,1535,13.7,1790,16.0
37001,75612,75612,24774,32.8,13051,17.3,16777,22.2,7574,10.0,13436,17.8
37003,16264,16264,4396,27.0,2326,14.3,2747,16.9,1438,8.8,5357,32.9
37005,4555,4555,1210,26.6,858,18.8,1072,23.5,733,16.1,682,15.0
37007,10354,10354,2602,25.1,2149,20.8,1397,13.5,1374,13.3,2832,27.4
37009,12440,12440,3359,27.0,2703,21.7,2706,21.8,1927,15.5,1745,14.0
37011,6718,6718,1892,28.2,2001,29.8,1289,19.2,780,11.6,756,11.3
37013,18867,18867,6074,32.2,3431,18.2,3448,18.3,2674,14.2,3240,17.2
37015,7496,7496,1987,26.5,1167,15.6,1420,18.9,897,12.0,2025,27.0
37017,12805,12805,3366,26.3,2615,20.4,2356,18.4,2387,18.6,2081,16.3
37019,50793,50793,15097,29.7,11192,22.0,12342,24.3,6411,12.6,5751,11.3
37021,124844,124844,49890,40.0,23800,19.1,26261,21.0,10673,8.5,14220,11.4
37023,38284,38284,10967,28.6,8243,21.5,6691,17.5,3431,9.0,8952,23.4
37025,99553,99553,38845,39.0,15485,15.6,22786,22.9,9835,9.9,12602,12.7
