countyFIPS,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
8089,14036.0,14036.0,1292.0,9.2
8091,4032.0,4032.0,446.0,11.1
8093,14383.0,14383.0,1730.0,12.0
8095,3209.0,3209.0,320.0,10.0
8097,15030.0,15030.0,759.0,5.0
8099,9021.0,9021.0,614.0,6.8
8101,126761.0,126761.0,14095.0,11.1
8103,4802.0,4802.0,504.0,10.5
8105,8692.0,8692.0,622.0,7.2
8107,20194.0,20194.0,1224.0,6.1
8109,5053.0,5053.0,453.0,9.0
8111,475.0,475.0,60.0,12.6
8113,6507.0,6507.0,369.0,5.7
8115,1811.0,1811.0,214.0,11.8
8117,25398.0,25398.0,1237.0,4.9
8119,19690.0,19690.0,3073.0,15.6
8121,3732.0,3732.0,327.0,8.8
8123,216329.0,216329.0,16487.0,7.6
8125,7346.0,7346.0,578.0,7.9
9001,727219.0,727219.0,32562.0,4.5
9003,703719.0,703719.0,41005.0,5.8
9005,148593.0,148593.0,11632.0,7.8
9007,133115.0,133115.0,10170.0,7.6
9009,682108.0,682108.0,39498.0,5.8
9011,208679.0,208679.0,21980.0,10.5
9013,124096.0,124096.0,8789.0,7.1
9015,92861.0,92861.0,8362.0,9.0
10001,131756.0,131756.0,17180.0,13.0
10003,433371.0,433371.0,30845.0,7.1
10005,177766.0,177766.0,18565.0,10.4
11001,559588.0,559588.0,26936.0,4.8
12001,215649.0,215649.0,15109.0,7.0
12003,21076.0,21076.0,2236.0,10.6
12005,139788.0,139788.0,21687.0,15.5
12007,21468.0,21468.0,2266.0,10.6
12009,468759.0,468759.0,64528.0,13.8
12011,1499313.0,1499313.0,76823.0,5.1
12013,11349.0,11349.0,1026.0,9.0
12015,154759.0,154759.0,22262.0,14.4
12017,121706.0,121706.0,19331.0,15.9
12019,156178.0,156178.0,26154.0,16.7
12021,299464.0,299464.0,27717.0,9.3
12023,53940.0,53940.0,7356.0,13.6
12027,29254.0,29254.0,2236.0,7.6
12029,13386.0,13386.0,1729.0,12.9
12031,702408.0,702408.0,82809.0,11.8
12033,237498.0,237498.0,33709.0,14.2
12035,88377.0,88377.0,11025.0,12.5
12037,9817.0,9817.0,1141.0,11.6
12039,35897.0,35897.0,3420.0,9.5
12041,14053.0,14053.0,1449.0,10.3
12043,11234.0,11234.0,1202.0,10.7
12045,13383.0,13383.0,1657.0,12.4
12047,11552.0,11552.0,945.0,8.2
12049,20010.0,20010.0,1270.0,6.3
12051,29334.0,29334.0,1729.0,5.9
12053,148698.0,148698.0,18643.0,12.5
12055,84428.0,84428.0,11294.0,13.4
12057,1058359.0,1058359.0,92149.0,8.7
12059,15581.0,15581.0,1746.0,11.2
12061,125486.0,125486.0,15309.0,12.2
12063,39439.0,39439.0,4254.0,10.8
12065,11780.0,11780.0,1117.0,9.5
12067,6778.0,6778.0,502.0,7.4
12069,269652.0,269652.0,32822.0,12.2
12071,588437.0,588437.0,58758.0,10.0
12073,233882.0,233882.0,15342.0,6.6
12075,32013.0,32013.0,4538.0,14.2
12077,6972.0,6972.0,506.0,7.3
12079,14955.0,14955.0,1140.0,7.6
12081,303247.0,303247.0,32682.0,10.8
12083,282922.0,282922.0,36262.0,12.8
12085,130980.0,130980.0,14743.0,11.3
12086,2159729.0,2159729.0,50015.0,2.3
12087,63557.0,63557.0,6692.0,10.5
12089,63931.0,63931.0,8691.0,13.6
12091,146879.0,146879.0,33350.0,22.7
12093,31703.0,31703.0,3026.0,9.5
12095,1023699.0,1023699.0,63263.0,6.2
12097,254511.0,254511.0,16497.0,6.5
12099,1165957.0,1165957.0,83423.0,7.2
12101,405963.0,405963.0,46474.0,11.4
12103,797420.0,797420.0,85825.0,10.8
12105,518417.0,518417.0,48252.0,9.3
12107,57098.0,57098.0,7239.0,12.7
12109,183241.0,183241.0,20611.0,11.2
12111,243428.0,243428.0,24634.0,10.1
12113,129631.0,129631.0,24233.0,18.7
12115,352101.0,352101.0,42744.0,12.1
12117,357474.0,357474.0,27352.0,7.7
12119,112142.0,112142.0,19434.0,17.3
12121,34376.0,34376.0,4210.0,12.2
12123,17862.0,17862.0,1372.0,7.7
12125,12353.0,12353.0,1627.0,13.2
12127,433173.0,433173.0,50303.0,11.6
12129,24938.0,24938.0,2908.0,11.7
12131,52221.0,52221.0,6101.0,11.7
12133,19675.0,19675.0,2068.0,10.5
13001,13837.0,13837.0,1050.0,7.6
13003,6001.0,6001.0,346.0,5.8
13005,8359.0,8359.0,728.0,8.7
13007,2559.0,2559.0,167.0,6.5
13009,36495.0,36495.0,2667.0,7.3
13011,14249.0,14249.0,1292.0,9.1
13013,56441.0,56441.0,4053.0,7.2
13015,77944.0,77944.0,6330.0,8.1
13017,12802.0,12802.0,810.0,6.3
13019,14331.0,14331.0,1045.0,7.3
13021,115311.0,115311.0,9444.0,8.2
13023,9981.0,9981.0,764.0,7.7
13025,14045.0,14045.0,976.0,6.9
13027,12189.0,12189.0,1176.0,9.6
13029,24239.0,24239.0,3622.0,14.9
13031,59726.0,59726.0,3989.0,6.7
13033,16624.0,16624.0,1598.0,9.6
13035,18831.0,18831.0,1520.0,8.1
13037,5278.0,5278.0,321.0,6.1
13039,36091.0,36091.0,6455.0,17.9
13043,8108.0,8108.0,839.0,10.3
13045,88057.0,88057.0,5925.0,6.7
13047,50876.0,50876.0,4251.0,8.4
13049,10508.0,10508.0,926.0,8.8
13051,221747.0,221747.0,23208.0,10.5
13053,4009.0,4009.0,877.0,21.9
13055,19202.0,19202.0,1408.0,7.3
13057,180579.0,180579.0,14278.0,7.9
13059,102767.0,102767.0,4570.0,4.4
13061,2417.0,2417.0,221.0,9.1
13063,200158.0,200158.0,16280.0,8.1
13065,4933.0,4933.0,285.0,5.8
13067,564037.0,564037.0,42191.0,7.5
13069,32407.0,32407.0,1815.0,5.6
13071,33533.0,33533.0,2268.0,6.8
13073,105756.0,105756.0,16560.0,15.7
13075,12739.0,12739.0,999.0,7.8
13077,105136.0,105136.0,9743.0,9.3
13079,9697.0,9697.0,869.0,9.0
13081,17167.0,17167.0,1133.0,6.6
13083,13065.0,13065.0,1059.0,8.1
13085,18762.0,18762.0,1347.0,7.2
13087,20150.0,20150.0,1226.0,6.1
13089,568423.0,568423.0,36795.0,6.5
13091,16728.0,16728.0,1346.0,8.0
13093,11371.0,11371.0,822.0,7.2
13095,68699.0,68699.0,5770.0,8.4
13097,104431.0,104431.0,9797.0,9.4
13099,7770.0,7770.0,466.0,6.0
13101,3133.0,3133.0,128.0,4.1
13103,42612.0,42612.0,5037.0,11.8
13105,14998.0,14998.0,1327.0,8.8
13107,16843.0,16843.0,1220.0,7.2
13109,7878.0,7878.0,820.0,10.4
13111,20674.0,20674.0,2190.0,10.6
13113,85161.0,85161.0,10767.0,12.6
13115,74119.0,74119.0,6226.0,8.4
13117,157626.0,157626.0,10294.0,6.5
13119,17554.0,17554.0,1102.0,6.3
13121,790926.0,790926.0,42640.0,5.4
13123,23990.0,23990.0,2514.0,10.5
13125,2305.0,2305.0,175.0,7.6
13127,65023.0,65023.0,6535.0,10.1
13129,42559.0,42559.0,2988.0,7.0
13131,18689.0,18689.0,1571.0,8.4
13133,13693.0,13693.0,1232.0,9.0
13135,654333.0,654333.0,38005.0,5.8
13137,34222.0,34222.0,2806.0,8.2
13139,144933.0,144933.0,10382.0,7.2
13141,7327.0,7327.0,440.0,6.0
13143,21911.0,21911.0,1470.0,6.7
13145,25966.0,25966.0,3377.0,13.0
13147,20252.0,20252.0,1392.0,6.9
13149,8956.0,8956.0,761.0,8.5
13151,162633.0,162633.0,16937.0,10.4
13153,110299.0,110299.0,17390.0,15.8
13155,7258.0,7258.0,485.0,6.7
13157,48854.0,48854.0,4302.0,8.8
13159,10488.0,10488.0,888.0,8.5
13161,10945.0,10945.0,546.0,5.0
13163,12012.0,12012.0,942.0,7.8
