countyFIPS,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school
13061,579.0,579.0,28.0,4.8,34.0,5.9,276.0,47.7,151.0,26.1,90.0,15.5
13063,81671.0,81671.0,4846.0,5.9,4556.0,5.6,35407.0,43.4,17601.0,21.6,19261.0,23.6
13065,1715.0,1715.0,90.0,5.2,151.0,8.8,858.0,50.0,337.0,19.7,279.0,16.3
13067,204775.0,204775.0,14661.0,7.2,10762.0,5.3,80610.0,39.4,42267.0,20.6,56475.0,27.6
13069,10633.0,10633.0,387.0,3.6,821.0,7.7,4494.0,42.3,2512.0,23.6,2419.0,22.7
13071,11348.0,11348.0,695.0,6.1,561.0,4.9,5647.0,49.8,2927.0,25.8,1518.0,13.4
13073,40251.0,40251.0,2548.0,6.3,2078.0,5.2,17015.0,42.3,9052.0,22.5,9558.0,23.7
13075,4315.0,4315.0,235.0,5.4,227.0,5.3,1937.0,44.9,1090.0,25.3,826.0,19.1
13077,35735.0,35735.0,2172.0,6.1,2159.0,6.0,16095.0,45.0,8232.0,23.0,7077.0,19.8
13079,2951.0,2951.0,151.0,5.1,92.0,3.1,1259.0,42.7,705.0,23.9,744.0,25.2
13081,5710.0,5710.0,334.0,5.8,393.0,6.9,2533.0,44.4,1169.0,20.5,1281.0,22.4
13083,4092.0,4092.0,192.0,4.7,154.0,3.8,1334.0,32.6,736.0,18.0,1676.0,41.0
13085,4912.0,4912.0,420.0,8.6,377.0,7.7,1960.0,39.9,1316.0,26.8,839.0,17.1
13087,6120.0,6120.0,490.0,8.0,282.0,4.6,2947.0,48.2,1372.0,22.4,1029.0,16.8
13089,195661.0,195661.0,15584.0,8.0,9869.0,5.0,76599.0,39.1,36915.0,18.9,56694.0,29.0
13091,4361.0,4361.0,283.0,6.5,123.0,2.8,2131.0,48.9,945.0,21.7,879.0,20.2
13093,2990.0,2990.0,203.0,6.8,223.0,7.5,1147.0,38.4,772.0,25.8,645.0,21.6
13095,28608.0,28608.0,2021.0,7.1,1204.0,4.2,9824.0,34.3,5616.0,19.6,9943.0,34.8
13097,41847.0,41847.0,2715.0,6.5,2029.0,4.8,17259.0,41.2,10030.0,24.0,9814.0,23.5
13099,2553.0,2553.0,91.0,3.6,240.0,9.4,1122.0,43.9,599.0,23.5,501.0,19.6
13101,844.0,844.0,64.0,7.6,30.0,3.6,404.0,47.9,267.0,31.6,79.0,9.4
13103,15791.0,15791.0,903.0,5.7,1018.0,6.4,7075.0,44.8,3890.0,24.6,2905.0,18.4
13105,4319.0,4319.0,359.0,8.3,371.0,8.6,1832.0,42.4,1051.0,24.3,706.0,16.3
13107,5581.0,5581.0,315.0,5.6,295.0,5.3,2528.0,45.3,1640.0,29.4,803.0,14.4
13109,2619.0,2619.0,263.0,10.0,288.0,11.0,1191.0,45.5,498.0,19.0,379.0,14.5
13111,4213.0,4213.0,340.0,8.1,339.0,8.0,1865.0,44.3,1104.0,26.2,565.0,13.4
13113,30479.0,30479.0,1881.0,6.2,1246.0,4.1,12311.0,40.4,8446.0,27.7,6595.0,21.6
13115,23803.0,23803.0,1030.0,4.3,1395.0,5.9,10492.0,44.1,5049.0,21.2,5837.0,24.5
13117,65219.0,65219.0,5036.0,7.7,3784.0,5.8,30042.0,46.1,15116.0,23.2,11241.0,17.2
13119,4885.0,4885.0,165.0,3.4,273.0,5.6,2079.0,42.6,1189.0,24.3,1179.0,24.1
13121,275500.0,275500.0,18682.0,6.8,13570.0,4.9,103497.0,37.6,53658.0,19.5,86093.0,31.2
13123,5452.0,5452.0,284.0,5.2,311.0,5.7,2558.0,46.9,1516.0,27.8,783.0,14.4
13125,707.0,707.0,52.0,7.4,25.0,3.5,282.0,39.9,270.0,38.2,78.0,11.0
13127,19574.0,19574.0,1365.0,7.0,753.0,3.8,8916.0,45.6,4629.0,23.6,3911.0,20.0
13129,13559.0,13559.0,878.0,6.5,804.0,5.9,6647.0,49.0,3031.0,22.4,2199.0,16.2
13131,5984.0,5984.0,381.0,6.4,133.0,2.2,3185.0,53.2,1308.0,21.9,977.0,16.3
