countyFIPS,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
51113,6080,6080,4511,74.2,1061,17.5,508,8.4,0,0.0
51115,3768,3768,2773,73.6,556,14.8,418,11.1,21,0.6
51117,12329,12329,9179,74.5,2457,19.9,690,5.6,3,0.0
51119,4302,4302,3229,75.1,685,15.9,388,9.0,0,0.0
51121,46179,46179,29678,64.3,14594,31.6,1846,4.0,61,0.1
51125,6997,6997,4833,69.1,1322,18.9,826,11.8,16,0.2
51127,10544,10544,7980,75.7,1925,18.3,631,6.0,8,0.1
51131,4897,4897,3670,74.9,737,15.1,475,9.7,15,0.3
51133,4780,4780,3480,72.8,762,15.9,538,11.3,0,0.0
51135,5596,5596,4212,75.3,1036,18.5,316,5.6,32,0.6
51137,16575,16575,12505,75.4,3060,18.5,980,5.9,30,0.2
51139,10794,10794,8373,77.6,1658,15.4,755,7.0,8,0.1
51141,7283,7283,5726,78.6,927,12.7,602,8.3,28,0.4
51143,27404,27404,21703,79.2,4050,14.8,1640,6.0,11,0.0
51145,13269,13269,10234,77.1,2386,18.0,633,4.8,16,0.1
51147,8531,8531,6023,70.6,2101,24.6,396,4.6,11,0.1
51149,15090,15090,10286,68.2,4120,27.3,672,4.5,12,0.1
51153,234698,234698,171933,73.3,52507,22.4,10011,4.3,247,0.1
51155,15441,15441,11288,73.1,3365,21.8,788,5.1,0,0.0
51157,3499,3499,2419,69.1,594,17.0,477,13.6,9,0.3
51159,3489,3489,2559,73.3,679,19.5,242,6.9,9,0.3
51161,45700,45700,36663,80.2,6827,14.9,2113,4.6,97,0.2
51163,10153,10153,7434,73.2,1322,13.0,1385,13.6,12,0.1
51165,39144,39144,29920,76.4,6202,15.8,2912,7.4,110,0.3
51167,9508,9508,6894,72.5,2090,22.0,501,5.3,23,0.2
51169,8340,8340,6665,79.9,1073,12.9,596,7.1,6,0.1
51171,20419,20419,15192,74.4,3494,17.1,1689,8.3,44,0.2
51173,12593,12593,9311,73.9,2413,19.2,850,6.7,19,0.2
51175,7799,7799,5237,67.1,2165,27.8,347,4.4,50,0.6
51177,65438,65438,48285,73.8,14410,22.0,2652,4.1,91,0.1
51179,70371,70371,44765,63.6,22853,32.5,2668,3.8,85,0.1
51181,2983,2983,2073,69.5,753,25.2,148,5.0,9,0.3
51183,3339,3339,2354,70.5,797,23.9,167,5.0,21,0.6
51185,15604,15604,11363,72.8,3152,20.2,1045,6.7,44,0.3
51187,19074,19074,14545,76.3,3282,17.2,1217,6.4,30,0.2
51191,23898,23898,18610,77.9,3951,16.5,1296,5.4,41,0.2
51193,7610,7610,4866,63.9,1930,25.4,791,10.4,23,0.3
51195,13075,13075,9902,75.7,2891,22.1,279,2.1,3,0.0
51197,13070,13070,9786,74.9,2496,19.1,773,5.9,15,0.1
51199,30286,30286,20795,68.7,8217,27.1,1221,4.0,53,0.2
51510,96180,96180,67541,70.2,23818,24.8,4725,4.9,96,0.1
51520,7174,7174,5913,82.4,950,13.2,302,4.2,9,0.1
51530,2991,2991,2323,77.7,452,15.1,216,7.2,0,0.0
51540,24605,24605,17083,69.4,6080,24.7,1431,5.8,11,0.0
51550,110464,110464,80312,72.7,25418,23.0,4552,4.1,182,0.2
51570,7624,7624,5798,76.0,1569,20.6,240,3.1,17,0.2
51580,2454,2454,1947,79.3,449,18.3,58,2.4,0,0.0
51590,16636,16636,13084,78.6,2700,16.2,793,4.8,59,0.4
51595,1939,1939,1580,81.5,262,13.5,97,5.0,0,0.0
51600,12717,12717,9282,73.0,2798,22.0,617,4.9,20,0.2
51610,7717,7717,5065,65.6,2152,27.9,448,5.8,52,0.7
51620,3402,3402,2531,74.4,806,23.7,65,1.9,0,0.0
51630,15332,15332,10937,71.3,3845,25.1,533,3.5,17,0.1
51640,2788,2788,2217,79.5,396,14.2,175,6.3,0,0.0
51650,61974,61974,45467,73.4,14238,23.0,2217,3.6,52,0.1
51660,25898,25898,20281,78.3,4719,18.2,861,3.3,37,0.1
51670,9384,9384,7293,77.7,1913,20.4,169,1.8,9,0.1
51678,2251,2251,1755,78.0,372,16.5,84,3.7,40,1.8
51680,36191,36191,29867,82.5,4487,12.4,1804,5.0,33,0.1
51683,22051,22051,17239,78.2,3536,16.0,1199,5.4,77,0.3
51685,8645,8645,6961,80.5,1251,14.5,433,5.0,0,0.0
51690,5345,5345,4405,82.4,798,14.9,131,2.5,11,0.2
51700,81765,81765,62986,77.0,16174,19.8,2519,3.1,86,0.1
51710,104931,104931,78002,74.3,22551,21.5,4264,4.1,114,0.1
51720,1539,1539,1242,80.7,239,15.5,58,3.8,0,0.0
51730,13387,13387,10847,81.0,2075,15.5,432,3.2,33,0.2
51735,5690,5690,4209,74.0,1235,21.7,246,4.3,0,0.0
51740,41388,41388,28980,70.0,10359,25.0,1992,4.8,57,0.1
51750,7822,7822,5764,73.7,1815,23.2,227,2.9,16,0.2
51760,112654,112654,89748,79.7,18229,16.2,4563,4.1,114,0.1
51770,47450,47450,40092,84.5,5536,11.7,1740,3.7,82,0.2
51775,12228,12228,9710,79.4,2113,17.3,405,3.3,0,0.0
51790,11775,11775,8333,70.8,2799,23.8,626,5.3,17,0.1
51800,41944,41944,30180,72.0,9958,23.7,1719,4.1,87,0.2
51810,220127,220127,163564,74.3,46834,21.3,9356,4.3,373,0.2
51820,10293,10293,8177,79.4,1714,16.7,389,3.8,13,0.1
51830,6027,6027,4098,68.0,1781,29.6,148,2.5,0,0.0
51840,13718,13718,10802,78.7,1863,13.6,1010,7.4,43,0.3
53001,7890,7890,6420,81.4,1208,15.3,256,3.2,6,0.1
53003,9643,9643,7618,79.0,1522,15.8,488,5.1,15,0.2
53005,86708,86708,67212,77.5,15262,17.6,4192,4.8,42,0.0
53007,34693,34693,26959,77.7,5206,15.0,2455,7.1,73,0.2
53009,28644,28644,19843,69.3,6305,22.0,2479,8.7,17,0.1
53011,221205,221205,178357,80.6,29171,13.2,13222,6.0,455,0.2
53013,1762,1762,1081,61.4,437,24.8,241,13.7,3,0.2
53015,43701,43701,35165,80.5,6102,14.0,2298,5.3,136,0.3
53017,18962,18962,14344,75.6,3232,17.0,1314,6.9,72,0.4
53019,2648,2648,1208,45.6,1115,42.1,269,10.2,56,2.1
53021,39752,39752,32002,80.5,5438,13.7,2248,5.7,64,0.2
53023,923,923,473,51.2,336,36.4,114,12.4,0,0.0
53025,40985,40985,32043,78.2,7166,17.5,1722,4.2,54,0.1
53027,27388,27388,19006,69.4,6409,23.4,1875,6.8,98,0.4
53029,32257,32257,22148,68.7,7441,23.1,2593,8.0,75,0.2
53031,11569,11569,8052,69.6,2090,18.1,1419,12.3,8,0.1
53033,1176560,1176560,967601,82.2,137623,11.7,69383,5.9,1953,0.2
53035,113310,113310,74659,65.9,31144,27.5,7272,6.4,235,0.2
53037,21497,21497,14252,66.3,5730,26.7,1462,6.8,53,0.2
53039,8329,8329,5913,71.0,1597,19.2,798,9.6,21,0.3
53041,30414,30414,22602,74.3,5757,18.9,2006,6.6,49,0.2
53043,4160,4160,2578,62.0,1248,30.0,317,7.6,17,0.4
53045,24072,24072,16210,67.3,5937,24.7,1892,7.9,33,0.1
53047,16954,16954,11155,65.8,4310,25.4,1444,8.5,45,0.3
53049,7012,7012,5104,72.8,1460,20.8,442,6.3,6,0.1
53051,4654,4654,3106,66.7,1136,24.4,412,8.9,0,0.0
53053,397125,397125,304842,76.8,73581,18.5,18133,4.6,569,0.1
53055,7657,7657,5009,65.4,1097,14.3,1518,19.8,33,0.4
53057,55506,55506,42992,77.5,8403,15.1,4043,7.3,68,0.1
53059,5162,5162,3780,73.2,1056,20.5,324,6.3,2,0.0
53061,401702,401702,328537,81.8,50531,12.6,21741,5.4,893,0.2
53063,227651,227651,179669,78.9,34658,15.2,13037,5.7,287,0.1
53065,16351,16351,11661,71.3,3268,20.0,1354,8.3,68,0.4
53067,126581,126581,81634,64.5,37098,29.3,7636,6.0,213,0.2
53069,1383,1383,876,63.3,332,24.0,175,12.7,0,0.0
53071,26674,26674,19429,72.8,5518,20.7,1650,6.2,77,0.3
53073,105049,105049,80248,76.4,17536,16.7,7075,6.7,190,0.2
53075,22539,22539,12889,57.2,8731,38.7,896,4.0,23,0.1
53077,104784,104784,83890,80.1,15320,14.6,5347,5.1,227,0.2
54001,6500,6500,5085,78.2,1148,17.7,259,4.0,8,0.1
54003,53940,53940,40433,75.0,11236,20.8,2177,4.0,94,0.2
54005,6691,6691,5267,78.7,1229,18.4,195,2.9,0,0.0
54007,5398,5398,4189,77.6,952,17.6,231,4.3,26,0.5
54009,10189,10189,8223,80.7,1570,15.4,396,3.9,0,0.0
54011,38865,38865,31329,80.6,6205,16.0,1312,3.4,19,0.0
54013,2203,2203,1678,76.2,470,21.3,34,1.5,21,1.0
54015,2600,2600,1838,70.7,616,23.7,128,4.9,18,0.7
54017,2941,2941,2255,76.7,578,19.7,102,3.5,6,0.2
54019,15861,15861,11850,74.7,3421,21.6,572,3.6,18,0.1
54021,2659,2659,1817,68.3,686,25.8,156,5.9,0,0.0
54023,4897,4897,3692,75.4,921,18.8,277,5.7,7,0.1
54025,13667,13667,10814,79.1,2057,15.1,795,5.8,1,0.0
54027,9021,9021,6939,76.9,1444,16.0,568,6.3,70,0.8
54029,13388,13388,11352,84.8,1559,11.6,464,3.5,13,0.1
54031,6428,6428,4689,72.9,1153,17.9,575,8.9,11,0.2
54033,29985,29985,22280,74.3,6071,20.2,1600,5.3,34,0.1
54035,11288,11288,8672,76.8,2023,17.9,593,5.3,0,0.0
54037,27210,27210,19444,71.5,6244,22.9,1506,5.5,16,0.1
54039,79515,79515,60122,75.6,16390,20.6,2916,3.7,87,0.1
54041,6363,6363,4936,77.6,953,15.0,474,7.4,0,0.0
54043,6861,6861,5173,75.4,1517,22.1,171,2.5,0,0.0
54045,10356,10356,7879,76.1,2094,20.2,342,3.3,41,0.4
54047,4019,4019,2545,63.3,1335,33.2,136,3.4,3,0.1
54049,24881,24881,19933,80.1,3964,15.9,984,4.0,0,0.0
54051,12509,12509,10089,80.7,1986,15.9,432,3.5,2,0.0
54053,9341,9341,7625,81.6,1486,15.9,217,2.3,13,0.1
54055,22660,22660,17267,76.2,4315,19.0,1061,4.7,17,0.1
54057,11555,11555,8885,76.9,2136,18.5,514,4.4,20,0.2
54059,6894,6894,5147,74.7,1544,22.4,171,2.5,32,0.5
54061,50112,50112,37456,74.7,10723,21.4,1901,3.8,32,0.1
54063,5139,5139,4050,78.8,647,12.6,442,8.6,0,0.0
54065,7516,7516,5928,78.9,1199,16.0,389,5.2,0,0.0
54067,9758,9758,7698,78.9,1695,17.4,313,3.2,52,0.5
54069,20013,20013,16252,81.2,2790,13.9,949,4.7,22,0.1
54071,2805,2805,1809,64.5,686,24.5,291,10.4,19,0.7
54073,3026,3026,2242,74.1,619,20.5,165,5.5,0,0.0
54075,3468,3468,2248,64.8,949,27.4,267,7.7,4,0.1
54077,13494,13494,10434,77.3,2340,17.3,696,5.2,24,0.2
54079,25912,25912,20676,79.8,4457,17.2,749,2.9,30,0.1
54081,28669,28669,22198,77.4,5489,19.1,982,3.4,0,0.0
54083,11339,11339,8818,77.8,1936,17.1,585,5.2,0,0.0
54085,3723,3723,2795,75.1,772,20.7,156,4.2,0,0.0
54087,4534,4534,3348,73.8,766,16.9,409,9.0,11,0.2
54089,4473,4473,3000,67.1,1149,25.7,318,7.1,6,0.1
54091,6842,6842,5299,77.4,1351,19.7,192,2.8,0,0.0
54093,3002,3002,1960,65.3,883,29.4,159,5.3,0,0.0
54095,3194,3194,2428,76.0,571,17.9,186,5.8,9,0.3
54097,9860,9860,7933,80.5,1432,14.5,470,4.8,25,0.3
54099,13808,13808,10494,76.0,2552,18.5,754,5.5,8,0.1
54101,2989,2989,2334,78.1,512,17.1,143,4.8,0,0.0
54103,5519,5519,4463,80.9,887,16.1,161,2.9,8,0.1
54105,2106,2106,1617,76.8,391,18.6,98,4.7,0,0.0
54107,36541,36541,28961,79.3,6008,16.4,1530,4.2,42,0.1
54109,6088,6088,4506,74.0,1445,23.7,137,2.3,0,0.0
55001,7517,7517,6021,80.1,922,12.3,555,7.4,19,0.3
55003,7291,7291,5600,76.8,1243,17.0,446,6.1,2,0.0
55005,22141,22141,17602,79.5,2485,11.2,1945,8.8,109,0.5
55007,7024,7024,4824,68.7,1430,20.4,720,10.3,50,0.7
55009,136550,136550,116844,85.6,13515,9.9,5928,4.3,263,0.2
55011,6847,6847,5404,78.9,687,10.0,722,10.5,34,0.5
55013,6596,6596,4942,74.9,1028,15.6,600,9.1,26,0.4
55015,27476,27476,23671,86.2,2770,10.1,966,3.5,69,0.3
55017,31621,31621,25721,81.3,3284,10.4,2522,8.0,94,0.3
55019,15832,15832,12082,76.3,1341,8.5,2279,14.4,130,0.8
55021,30458,30458,23981,78.7,4491,14.7,1898,6.2,88,0.3
55023,7566,7566,5898,78.0,1027,13.6,628,8.3,13,0.2
55025,302391,302391,226937,75.0,62373,20.6,12652,4.2,429,0.1
55027,44570,44570,37652,84.5,4388,9.8,2405,5.4,125,0.3
55029,13445,13445,10799,80.3,1384,10.3,1219,9.1,43,0.3
55031,21862,21862,17843,81.6,3028,13.9,958,4.4,33,0.2
55033,23300,23300,18430,79.1,3307,14.2,1505,6.5,58,0.2
55035,55948,55948,45899,82.0,7209,12.9,2762,4.9,78,0.1
55037,1924,1924,1459,75.8,307,16.0,151,7.8,7,0.4
55039,53443,53443,44734,83.7,6070,11.4,2523,4.7,116,0.2
55041,3704,3704,2445,66.0,916,24.7,338,9.1,5,0.1
55043,26382,26382,20457,77.5,3848,14.6,1984,7.5,93,0.4
55045,20344,20344,16311,80.2,2418,11.9,1560,7.7,55,0.3
55047,9154,9154,7274,79.5,1097,12.0,765,8.4,18,0.2
55049,12469,12469,9954,79.8,1405,11.3,1065,8.5,45,0.4
55051,2509,2509,1856,74.0,447,17.8,203,8.1,3,0.1
55053,9464,9464,7233,76.4,1418,15.0,752,7.9,61,0.6
55055,45835,45835,38388,83.8,5152,11.2,2232,4.9,63,0.1
55057,12143,12143,9155,75.4,2140,17.6,789,6.5,59,0.5
55059,83794,83794,71018,84.8,9797,11.7,2879,3.4,100,0.1
55061,10585,10585,8724,82.4,990,9.4,836,7.9,35,0.3
55063,62604,62604,52208,83.4,8000,12.8,2277,3.6,119,0.2
55065,8630,8630,6512,75.5,1056,12.2,1008,11.7,54,0.6
55067,8588,8588,6802,79.2,1134,13.2,618,7.2,34,0.4
55069,14200,14200,11526,81.2,1702,12.0,932,6.6,40,0.3
55071,40603,40603,35034,86.3,3517,8.7,1951,4.8,101,0.2
55073,71176,71176,59865,84.1,7014,9.9,4113,5.8,184,0.3
55075,18712,18712,15346,82.0,2046,10.9,1268,6.8,52,0.3
55077,6925,6925,5461,78.9,940,13.6,487,7.0,37,0.5
55078,1624,1624,566,34.9,1011,62.3,47,2.9,0,0.0
55079,458805,458805,389644,84.9,52035,11.3,16754,3.7,372,0.1
55081,21524,21524,15714,73.0,4280,19.9,1464,6.8,66,0.3
55083,18968,18968,15176,80.0,2225,11.7,1486,7.8,81,0.4
55085,16687,16687,13358,80.1,2087,12.5,1206,7.2,36,0.2
55087,99454,99454,86148,86.6,8928,9.0,4236,4.3,142,0.1
55089,47039,47039,40569,86.2,4103,8.7,2309,4.9,58,0.1
55091,3730,3730,2850,76.4,441,11.8,430,11.5,9,0.2
55093,23534,23534,18731,79.6,3334,14.2,1430,6.1,39,0.2
55095,21468,21468,17194,80.1,2551,11.9,1648,7.7,75,0.3
55097,37825,37825,30689,81.1,5261,13.9,1799,4.8,76,0.2
55099,6505,6505,5038,77.4,838,12.9,606,9.3,23,0.4
55101,94656,94656,81342,85.9,9218,9.7,3916,4.1,180,0.2
55103,8403,8403,6575,78.2,994,11.8,822,9.8,12,0.1
55105,79644,79644,67551,84.8,8561,10.7,3453,4.3,79,0.1
55107,6409,6409,4918,76.7,792,12.4,654,10.2,45,0.7
55109,48173,48173,40100,83.2,5301,11.0,2703,5.6,69,0.1
55111,34048,34048,27863,81.8,4042,11.9,2021,5.9,122,0.4
55113,7221,7221,4901,67.9,1517,21.0,746,10.3,57,0.8
55115,20214,20214,15381,76.1,2908,14.4,1851,9.2,74,0.4
55117,59637,59637,51673,86.6,5044,8.5,2760,4.6,160,0.3
55119,10235,10235,8129,79.4,856,8.4,1170,11.4,80,0.8
55121,15051,15051,11997,79.7,1714,11.4,1310,8.7,30,0.2
55123,13479,13479,10297,76.4,1751,13.0,1366,10.1,65,0.5
55125,9182,9182,6654,72.5,1425,15.5,1061,11.6,42,0.5
55127,53838,53838,44149,82.0,6230,11.6,3327,6.2,132,0.2
55129,6973,6973,5245,75.2,1079,15.5,631,9.0,18,0.3
55131,73521,73521,64108,87.2,6229,8.5,3165,4.3,19,0.0
55133,213895,213895,187686,87.7,17516,8.2,8387,3.9,306,0.1
55135,26292,26292,21260,80.9,3252,12.4,1741,6.6,39,0.1
55137,10464,10464,8126,77.7,1511,14.4,801,7.7,26,0.2
55139,87968,87968,74506,84.7,10191,11.6,3184,3.6,87,0.1
55141,36451,36451,30397,83.4,3774,10.4,2205,6.0,75,0.2
56001,21168,21168,13717,64.8,6483,30.6,952,4.5,16,0.1
56003,5178,5178,3709,71.6,992,19.2,450,8.7,27,0.5
56005,24722,24722,19733,79.8,3799,15.4,1129,4.6,61,0.2
56007,7503,7503,5596,74.6,1585,21.1,311,4.1,11,0.1
56009,6829,6829,5138,75.2,1254,18.4,424,6.2,13,0.2
56011,3446,3446,2458,71.3,591,17.2,388,11.3,9,0.3
56013,18248,18248,11143,61.1,5294,29.0,1712,9.4,99,0.5
56015,6258,6258,4339,69.3,1292,20.6,594,9.5,33,0.5
56017,2292,2292,1594,69.5,424,18.5,261,11.4,13,0.6
56019,4328,4328,2983,68.9,910,21.0,402,9.3,33,0.8
56021,46993,46993,31946,68.0,12287,26.1,2585,5.5,175,0.4
56023,9134,9134,6861,75.1,1545,16.9,728,8.0,0,0.0
56025,41314,41314,33103,80.1,5754,13.9,2290,5.5,167,0.4
56027,1032,1032,479,46.4,387,37.5,155,15.0,11,1.1
56029,14615,14615,10927,74.8,2528,17.3,1105,7.6,55,0.4
56031,4307,4307,3085,71.6,709,16.5,513,11.9,0,0.0
56033,15075,15075,10769,71.4,3168,21.0,1130,7.5,8,0.1
56035,5525,5525,3889,70.4,1290,23.3,336,6.1,10,0.2
56037,22129,22129,17443,78.8,3772,17.0,914,4.1,0,0.0
56039,14317,14317,11748,82.1,1686,11.8,883,6.2,0,0.0
56041,9527,9527,7055,74.1,1859,19.5,571,6.0,42,0.4
56043,3835,3835,2656,69.3,867,22.6,306,8.0,6,0.2
56045,3188,3188,2240,70.3,667,20.9,275,8.6,6,0.2
72001,3795,3795,2186,57.6,1325,34.9,284,7.5,0,0.0
72003,11595,11595,7630,65.8,2123,18.3,1834,15.8,8,0.1
72005,13851,13851,9119,65.8,3645,26.3,1069,7.7,18,0.1
72007,7575,7575,5241,69.2,1248,16.5,1086,14.3,0,0.0
72009,6613,6613,4974,75.2,1278,19.3,351,5.3,10,0.2
72011,8679,8679,6283,72.4,1542,17.8,854,9.8,0,0.0
72013,22966,22966,16135,70.3,5156,22.5,1635,7.1,40,0.2
72015,3711,3711,2570,69.3,984,26.5,157,4.2,0,0.0
72017,5936,5936,4183,70.5,1420,23.9,333,5.6,0,0.0
72019,6545,6545,4404,67.3,1528,23.3,613,9.4,0,0.0
72021,65692,65692,46688,71.1,13425,20.4,5562,8.5,17,0.0
72023,12208,12208,8558,70.1,2698,22.1,952,7.8,0,0.0
72025,46508,46508,33627,72.3,8501,18.3,4357,9.4,23,0.0
72027,8543,8543,5985,70.1,1806,21.1,752,8.8,0,0.0
72029,14206,14206,10225,72.0,2899,20.4,1067,7.5,15,0.1
72031,60147,60147,41721,69.4,12761,21.2,5554,9.2,111,0.2
72033,7789,7789,5509,70.7,1618,20.8,662,8.5,0,0.0
72035,14176,14176,9616,67.8,2944,20.8,1616,11.4,0,0.0
72037,3528,3528,2194,62.2,809,22.9,489,13.9,36,1.0
72039,3383,3383,2244,66.3,945,27.9,181,5.4,13,0.4
72041,12211,12211,8742,71.6,2571,21.1,898,7.4,0,0.0
72043,11633,11633,7385,63.5,3283,28.2,965,8.3,0,0.0
72045,4705,4705,3194,67.9,1132,24.1,379,8.1,0,0.0
72047,7925,7925,5191,65.5,1681,21.2,928,11.7,125,1.6
72049,588,588,226,38.4,283,48.1,79,13.4,0,0.0
72051,11583,11583,7749,66.9,2446,21.1,1348,11.6,40,0.3
72053,9827,9827,6932,70.5,1911,19.4,967,9.8,17,0.2
72054,3235,3235,2211,68.3,843,26.1,181,5.6,0,0.0
72055,3433,3433,2216,64.5,1138,33.1,79,2.3,0,0.0
72057,9570,9570,6332,66.2,2684,28.0,535,5.6,19,0.2
72059,4677,4677,2848,60.9,1494,31.9,335,7.2,0,0.0
72061,35519,35519,24935,70.2,6652,18.7,3920,11.0,12,0.0
72063,18000,18000,12554,69.7,3337,18.5,2089,11.6,20,0.1
72065,12069,12069,8050,66.7,3087,25.6,932,7.7,0,0.0
72067,4781,4781,3205,67.0,1196,25.0,380,7.9,0,0.0
72069,14767,14767,9523,64.5,3733,25.3,1511,10.2,0,0.0
72071,10784,10784,7283,67.5,2496,23.1,986,9.1,19,0.2
72073,3322,3322,2222,66.9,951,28.6,149,4.5,0,0.0
72075,14754,14754,10099,68.4,2952,20.0,1630,11.0,73,0.5
72077,11179,11179,8169,73.1,2321,20.8,671,6.0,18,0.2
72079,4605,4605,3217,69.9,1019,22.1,369,8.0,0,0.0
72081,6446,6446,4160,64.5,1734,26.9,519,8.1,33,0.5
72083,2150,2150,1191,55.4,846,39.3,113,5.3,0,0.0
72085,10509,10509,7504,71.4,2199,20.9,786,7.5,20,0.2
72087,7500,7500,5025,67.0,2178,29.0,297,4.0,0,0.0
72089,5636,5636,3987,70.7,1125,20.0,524,9.3,0,0.0
72091,10984,10984,7913,72.0,2086,19.0,971,8.8,14,0.1
72093,1321,1321,862,65.3,420,31.8,39,3.0,0,0.0
72095,2227,2227,1254,56.3,891,40.0,82,3.7,0,0.0
72097,18782,18782,12282,65.4,4643,24.7,1791,9.5,66,0.4
72099,8993,8993,6171,68.6,1896,21.1,911,10.1,15,0.2
72101,8586,8586,6139,71.5,1912,22.3,535,6.2,0,0.0
72103,7043,7043,4288,60.9,1493,21.2,1262,17.9,0,0.0
72105,7478,7478,4993,66.8,2032,27.2,453,6.1,0,0.0
72107,4412,4412,2646,60.0,1217,27.6,528,12.0,21,0.5
72109,4027,4027,2463,61.2,1243,30.9,282,7.0,39,1.0
72111,5089,5089,2994,58.8,1771,34.8,305,6.0,19,0.4
72113,38169,38169,27688,72.5,7375,19.3,3035,8.0,71,0.2
72115,6797,6797,4653,68.5,1486,21.9,658,9.7,0,0.0
72117,4548,4548,3285,72.2,736,16.2,527,11.6,0,0.0
72119,16592,16592,11443,69.0,3738,22.5,1331,8.0,80,0.5
72121,5712,5712,3736,65.4,1630,28.5,346,6.1,0,0.0
72123,7949,7949,5478,68.9,1893,23.8,578,7.3,0,0.0
72125,8257,8257,5481,66.4,2137,25.9,619,7.5,20,0.2
72127,125905,125905,83486,66.3,23595,18.7,18507,14.7,317,0.3
72129,11355,11355,8399,74.0,2357,20.8,578,5.1,21,0.2
72131,8619,8619,5400,62.7,2148,24.9,1045,12.1,26,0.3
72133,7671,7671,5122,66.8,1995,26.0,554,7.2,0,0.0
72135,27034,27034,19326,71.5,5707,21.1,1976,7.3,25,0.1
72137,28173,28173,19841,70.4,6127,21.7,2188,7.8,17,0.1
72139,27167,27167,18809,69.2,5259,19.4,3099,11.4,0,0.0
72141,6547,6547,3960,60.5,1873,28.6,714,10.9,0,0.0
72143,9815,9815,7651,78.0,1673,17.0,491,5.0,0,0.0
72145,14314,14314,10818,75.6,2795,19.5,679,4.7,22,0.2
72147,2487,2487,1026,41.3,1117,44.9,344,13.8,0,0.0
72149,6625,6625,3935,59.4,1925,29.1,751,11.3,14,0.2
72151,8044,8044,5310,66.0,2209,27.5,525,6.5,0,0.0
72153,8924,8924,5860,65.7,2519,28.2,545,6.1,0,0.0
