countyFIPS,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
46019,4935,4935,3477,70.5,686,13.9,732,14.8,40,0.8
46021,727,727,477,65.6,87,12.0,163,22.4,0,0.0
46023,3894,3894,2318,59.5,942,24.2,617,15.8,17,0.4
46025,1786,1786,1168,65.4,247,13.8,363,20.3,8,0.4
46027,7645,7645,5108,66.8,2136,27.9,390,5.1,11,0.1
46029,15309,15309,12374,80.8,1756,11.5,1120,7.3,59,0.4
46031,1282,1282,457,35.6,468,36.5,342,26.7,15,1.2
46033,3928,3928,2653,67.5,774,19.7,478,12.2,23,0.6
46035,10568,10568,8637,81.7,1151,10.9,765,7.2,15,0.1
46037,2654,2654,1770,66.7,433,16.3,412,15.5,39,1.5
46039,2284,2284,1690,74.0,223,9.8,370,16.2,1,0.0
46041,2036,2036,638,31.3,1081,53.1,295,14.5,22,1.1
46043,1444,1444,963,66.7,210,14.5,264,18.3,7,0.5
46045,1933,1933,1349,69.8,257,13.3,322,16.7,5,0.3
46047,3197,3197,2028,63.4,894,28.0,275,8.6,0,0.0
46049,1090,1090,610,56.0,249,22.8,229,21.0,2,0.2
46051,3716,3716,2983,80.3,396,10.7,332,8.9,5,0.1
46053,2032,2032,1364,67.1,338,16.6,328,16.1,2,0.1
46055,934,934,610,65.3,125,13.4,193,20.7,6,0.6
46057,2855,2855,2204,77.2,296,10.4,341,11.9,14,0.5
46059,1767,1767,1255,71.0,205,11.6,295,16.7,12,0.7
46061,1629,1629,1248,76.6,175,10.7,195,12.0,11,0.7
46063,685,685,399,58.2,94,13.7,159,23.2,33,4.8
46065,9323,9323,5666,60.8,3225,34.6,419,4.5,13,0.1
46067,3669,3669,2589,70.6,426,11.6,612,16.7,42,1.1
46069,668,668,403,60.3,140,21.0,118,17.7,7,1.0
46071,1023,1023,461,45.1,329,32.2,198,19.4,35,3.4
46073,973,973,666,68.4,119,12.2,188,19.3,0,0.0
46075,410,410,209,51.0,70,17.1,116,28.3,15,3.7
46077,2670,2670,1853,69.4,389,14.6,400,15.0,28,1.0
46079,6737,6737,5019,74.5,1028,15.3,650,9.6,40,0.6
46081,13595,13595,10454,76.9,2280,16.8,832,6.1,29,0.2
46083,29972,29972,25713,85.8,2731,9.1,1477,4.9,51,0.2
46085,1759,1759,851,48.4,647,36.8,261,14.8,0,0.0
46087,2909,2909,2216,76.2,301,10.3,377,13.0,15,0.5
46089,1032,1032,581,56.3,154,14.9,294,28.5,3,0.3
46091,2488,2488,1844,74.1,375,15.1,255,10.2,14,0.6
46093,14081,14081,10238,72.7,2560,18.2,1232,8.7,51,0.4
46095,573,573,220,38.4,263,45.9,90,15.7,0,0.0
46097,1114,1114,779,69.9,119,10.7,215,19.3,1,0.1
46099,104419,104419,90504,86.7,9200,8.8,4606,4.4,109,0.1
46101,3263,3263,2317,71.0,606,18.6,332,10.2,8,0.2
46102,3469,3469,1129,32.5,2163,62.4,177,5.1,0,0.0
46103,54687,54687,44148,80.7,7113,13.0,3345,6.1,81,0.1
46105,1577,1577,885,56.1,212,13.4,448,28.4,32,2.0
46107,1128,1128,855,75.8,110,9.8,146,12.9,17,1.5
46109,4718,4718,3154,66.9,1011,21.4,528,11.2,25,0.5
46111,1283,1283,895,69.8,146,11.4,222,17.3,20,1.6
46115,3247,3247,2081,64.1,648,20.0,499,15.4,19,0.6
46117,1702,1702,1181,69.4,403,23.7,118,6.9,0,0.0
46119,681,681,422,62.0,128,18.8,131,19.2,0,0.0
46121,2576,2576,804,31.2,1602,62.2,159,6.2,11,0.4
46123,2783,2783,1798,64.6,424,15.2,557,20.0,4,0.1
46125,4243,4243,3100,73.1,501,11.8,635,15.0,7,0.2
46127,8074,8074,6623,82.0,753,9.3,657,8.1,41,0.5
46129,2753,2753,1968,71.5,381,13.8,402,14.6,2,0.1
46135,11387,11387,9230,81.1,1487,13.1,645,5.7,25,0.2
46137,1029,1029,290,28.2,528,51.3,201,19.5,10,1.0
47001,32986,32986,25495,77.3,5235,15.9,2237,6.8,19,0.1
47003,21679,21679,17244,79.5,2656,12.3,1719,7.9,60,0.3
