countyFIPS,Estimate!!RELATIONSHIP!!Population in households,Percent Estimate!!RELATIONSHIP!!Population in households,Estimate!!RELATIONSHIP!!Population in households!!Householder,Percent Estimate!!RELATIONSHIP!!Population in households!!Householder,Estimate!!RELATIONSHIP!!Population in households!!Spouse,Percent Estimate!!RELATIONSHIP!!Population in households!!Spouse,Estimate!!RELATIONSHIP!!Population in households!!Child,Percent Estimate!!RELATIONSHIP!!Population in households!!Child,Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
5137,12305.0,12305.0,4954.0,40.3,2745.0,22.3,2996.0,24.3,1156.0,9.4,454.0,3.7,125.0,1.0
5139,39247.0,39247.0,15904.0,40.5,7318.0,18.6,11495.0,29.3,2949.0,7.5,1581.0,4.0,586.0,1.5
5141,16488.0,16488.0,6852.0,41.6,3700.0,22.4,4303.0,26.1,1013.0,6.1,620.0,3.8,224.0,1.4
5143,220643.0,220643.0,85891.0,38.9,40311.0,18.3,64430.0,29.2,13159.0,6.0,16852.0,7.6,5778.0,2.6
5145,74926.0,74926.0,29263.0,39.1,15721.0,21.0,21814.0,29.1,4941.0,6.6,3187.0,4.3,1245.0,1.7
5147,6541.0,6541.0,2890.0,44.2,1238.0,18.9,1730.0,26.4,332.0,5.1,351.0,5.4,119.0,1.8
5149,21228.0,21228.0,7491.0,35.3,4044.0,19.1,6710.0,31.6,2106.0,9.9,877.0,4.1,585.0,2.8
6001,1611412.0,1611412.0,572870.0,35.6,288189.0,17.9,460833.0,28.6,158388.0,9.8,131132.0,8.1,38365.0,2.4
6003,1110.0,1110.0,299.0,26.9,165.0,14.9,302.0,27.2,251.0,22.6,93.0,8.4,8.0,0.7
6005,34147.0,34147.0,14090.0,41.3,7716.0,22.6,8025.0,23.5,2443.0,7.2,1873.0,5.5,714.0,2.1
6007,221011.0,221011.0,86797.0,39.3,37157.0,16.8,57577.0,26.1,15147.0,6.9,24333.0,11.0,6955.0,3.1
6009,44736.0,44736.0,17417.0,38.9,9065.0,20.3,11149.0,24.9,4352.0,9.7,2753.0,6.2,943.0,2.1
6011,21257.0,21257.0,7113.0,33.5,4058.0,19.1,7624.0,35.9,1650.0,7.8,812.0,3.8,420.0,2.0
6013,1123209.0,1123209.0,392277.0,34.9,214910.0,19.1,353131.0,31.4,95537.0,8.5,67354.0,6.0,22890.0,2.0
6015,24314.0,24314.0,9799.0,40.3,4231.0,17.4,6793.0,27.9,1715.0,7.1,1776.0,7.3,653.0,2.7
6017,184881.0,184881.0,69172.0,37.4,40604.0,22.0,52031.0,28.1,11286.0,6.1,11788.0,6.4,3544.0,1.9
6019,961380.0,961380.0,304624.0,31.7,142810.0,14.9,352627.0,36.7,99561.0,10.4,61758.0,6.4,26717.0,2.8
6021,27586.0,27586.0,10017.0,36.3,5607.0,20.3,9321.0,33.8,1456.0,5.3,1185.0,4.3,481.0,1.7
6023,131628.0,131628.0,54267.0,41.2,20608.0,15.7,33780.0,25.7,7619.0,5.8,15354.0,11.7,5175.0,3.9
6025,170508.0,170508.0,44057.0,25.8,22104.0,13.0,69784.0,40.9,27563.0,16.2,7000.0,4.1,2301.0,1.3
6027,17438.0,17438.0,8083.0,46.4,3270.0,18.8,4372.0,25.1,765.0,4.4,948.0,5.4,418.0,2.4
6029,851927.0,851927.0,267913.0,31.4,136752.0,16.1,320594.0,37.6,79300.0,9.3,47368.0,5.6,22236.0,2.6
6031,135163.0,135163.0,42735.0,31.6,22026.0,16.3,49827.0,36.9,12317.0,9.1,8258.0,6.1,3814.0,2.8
6033,63151.0,63151.0,25966.0,41.1,10612.0,16.8,16229.0,25.7,4810.0,7.6,5534.0,8.8,2444.0,3.9
6035,21123.0,21123.0,9493.0,44.9,4841.0,22.9,5178.0,24.5,785.0,3.7,826.0,3.9,313.0,1.5
6037,9920572.0,9920572.0,3306109.0,33.3,1483844.0,15.0,3175912.0,32.0,1246375.0,12.6,708332.0,7.1,226857.0,2.3
6039,146834.0,146834.0,44759.0,30.5,25676.0,17.5,53181.0,36.2,15200.0,10.4,8018.0,5.5,3008.0,2.0
6041,252722.0,252722.0,105258.0,41.6,53726.0,21.3,66589.0,26.3,9163.0,3.6,17986.0,7.1,5605.0,2.2
6043,16431.0,16431.0,7700.0,46.9,4041.0,24.6,3166.0,19.3,850.0,5.2,674.0,4.1,308.0,1.9
6045,85192.0,85192.0,34090.0,40.0,14931.0,17.5,23418.0,27.5,6070.0,7.1,6683.0,7.8,2713.0,3.2
6047,263149.0,263149.0,79606.0,30.3,40677.0,15.5,98627.0,37.5,28091.0,10.7,16148.0,6.1,6363.0,2.4
6049,8444.0,8444.0,3660.0,43.3,1739.0,20.6,2058.0,24.4,408.0,4.8,579.0,6.9,112.0,1.3
6051,13840.0,13840.0,4847.0,35.0,2081.0,15.0,3904.0,28.2,706.0,5.1,2302.0,16.6,331.0,2.4
6053,415471.0,415471.0,126052.0,30.3,66000.0,15.9,143063.0,34.4,52161.0,12.6,28195.0,6.8,9461.0,2.3
6055,136424.0,136424.0,49032.0,35.9,26113.0,19.1,40138.0,29.4,12076.0,8.9,9065.0,6.6,2756.0,2.0
6057,97862.0,97862.0,40904.0,41.8,21665.0,22.1,22992.0,23.5,4460.0,4.6,7841.0,8.0,2604.0,2.7
6059,3120787.0,3120787.0,1032373.0,33.1,564318.0,18.1,981710.0,31.5,318029.0,10.2,224357.0,7.2,57606.0,1.8
6061,375906.0,375906.0,140661.0,37.4,81011.0,21.6,114096.0,30.4,20932.0,5.6,19206.0,5.1,7131.0,1.9
6063,18307.0,18307.0,8047.0,44.0,3803.0,20.8,3874.0,21.2,1442.0,7.9,1141.0,6.2,422.0,2.3
6065,2348183.0,2348183.0,718349.0,30.6,387773.0,16.5,829981.0,35.3,275319.0,11.7,136761.0,5.8,47171.0,2.0
6067,1485602.0,1485602.0,536029.0,36.1,245669.0,16.5,468222.0,31.5,134780.0,9.1,100902.0,6.8,37675.0,2.5
6069,59140.0,59140.0,17740.0,30.0,10740.0,18.2,20863.0,35.3,6395.0,10.8,3402.0,5.8,1503.0,2.5
6071,2078586.0,2078586.0,630633.0,30.3,326840.0,15.7,742372.0,35.7,260288.0,12.5,118453.0,5.7,44828.0,2.2
6073,3213382.0,3213382.0,1118980.0,34.8,561324.0,17.5,983364.0,30.6,289968.0,9.0,259746.0,8.1,74090.0,2.3
6075,849564.0,849564.0,359673.0,42.3,130114.0,15.3,161079.0,19.0,74555.0,8.8,124143.0,14.6,27823.0,3.3
6077,716218.0,716218.0,226727.0,31.7,117068.0,16.3,252614.0,35.3,80336.0,11.2,39473.0,5.5,17108.0,2.4
6079,265020.0,265020.0,105317.0,39.7,52886.0,20.0,64575.0,24.4,15369.0,5.8,26873.0,10.1,6989.0,2.6
6081,755958.0,755958.0,261969.0,34.7,143904.0,19.0,220804.0,29.2,72355.0,9.6,56926.0,7.5,14488.0,1.9
6083,423875.0,423875.0,144962.0,34.2,71092.0,16.8,123356.0,29.1,36236.0,8.5,48229.0,11.4,10784.0,2.5
6085,1886256.0,1886256.0,635525.0,33.7,361695.0,19.2,564913.0,29.9,186706.0,9.9,137417.0,7.3,33795.0,1.8
6087,261081.0,261081.0,95756.0,36.7,46468.0,17.8,73415.0,28.1,17852.0,6.8,27590.0,10.6,7206.0,2.8
6089,175807.0,175807.0,70473.0,40.1,34288.0,19.5,46029.0,26.2,11828.0,6.7,13189.0,7.5,4638.0,2.6
6091,2898.0,2898.0,1241.0,42.8,532.0,18.4,685.0,23.6,154.0,5.3,286.0,9.9,62.0,2.1
6093,42997.0,42997.0,19257.0,44.8,8687.0,20.2,9873.0,23.0,2167.0,5.0,3013.0,7.0,1697.0,3.9
6095,428086.0,428086.0,149067.0,34.8,75907.0,17.7,134203.0,31.3,42358.0,9.9,26551.0,6.2,10001.0,2.3
6097,492826.0,492826.0,189339.0,38.4,91237.0,18.5,136074.0,27.6,33079.0,6.7,43097.0,8.7,15180.0,3.1
6099,534032.0,534032.0,172682.0,32.3,89747.0,16.8,186609.0,34.9,54932.0,10.3,30062.0,5.6,12944.0,2.4
6101,94860.0,94860.0,32360.0,34.1,17396.0,18.3,31150.0,32.8,9478.0,10.0,4476.0,4.7,1897.0,2.0
6103,62507.0,62507.0,24025.0,38.4,11532.0,18.4,18264.0,29.2,4670.0,7.5,4016.0,6.4,1830.0,2.9
6105,12569.0,12569.0,5796.0,46.1,2512.0,20.0,2741.0,21.8,785.0,6.2,735.0,5.8,398.0,3.2
6107,455051.0,455051.0,136106.0,29.9,70899.0,15.6,176538.0,38.8,47047.0,10.3,24461.0,5.4,11861.0,2.6
6109,50483.0,50483.0,22427.0,44.4,10955.0,21.7,10888.0,21.6,2868.0,5.7,3345.0,6.6,1772.0,3.5
6111,835511.0,835511.0,271226.0,32.5,150504.0,18.0,273747.0,32.8,85219.0,10.2,54815.0,6.6,16700.0,2.0
6113,206773.0,206773.0,73510.0,35.6,35150.0,17.0,58412.0,28.2,12522.0,6.1,27179.0,13.1,4100.0,2.0
6115,74094.0,74094.0,26179.0,35.3,13470.0,18.2,24376.0,32.9,5150.0,7.0,4919.0,6.6,2385.0,3.2
8001,493075.0,493075.0,164353.0,33.3,83464.0,16.9,163876.0,33.2,47951.0,9.7,33431.0,6.8,12170.0,2.5
8003,15355.0,15355.0,6153.0,40.1,2689.0,17.5,4732.0,30.8,542.0,3.5,1239.0,8.1,425.0,2.8
8005,631238.0,631238.0,237559.0,37.6,117962.0,18.7,188698.0,29.9,45528.0,7.2,41491.0,6.6,14657.0,2.3
8007,12744.0,12744.0,5670.0,44.5,3181.0,25.0,2786.0,21.9,480.0,3.8,627.0,4.9,387.0,3.0
8009,3467.0,3467.0,1642.0,47.4,857.0,24.7,773.0,22.3,93.0,2.7,102.0,2.9,70.0,2.0
8011,3936.0,3936.0,1744.0,44.3,895.0,22.7,958.0,24.3,225.0,5.7,114.0,2.9,87.0,2.2
8013,309414.0,309414.0,125894.0,40.7,59029.0,19.1,77903.0,25.2,11954.0,3.9,34634.0,11.2,8355.0,2.7
8014,65823.0,65823.0,26721.0,40.6,14974.0,22.7,18514.0,28.1,2195.0,3.3,3419.0,5.2,1776.0,2.7
8015,17850.0,17850.0,7958.0,44.6,4390.0,24.6,3831.0,21.5,764.0,4.3,907.0,5.1,363.0,2.0
8017,1998.0,1998.0,742.0,37.1,379.0,19.0,729.0,36.5,80.0,4.0,68.0,3.4,28.0,1.4
8019,9259.0,9259.0,4640.0,50.1,2245.0,24.2,1906.0,20.6,110.0,1.2,358.0,3.9,151.0,1.6
8021,8080.0,8080.0,3068.0,38.0,1521.0,18.8,2850.0,35.3,474.0,5.9,167.0,2.1,85.0,1.1
8023,3687.0,3687.0,1687.0,45.8,690.0,18.7,817.0,22.2,358.0,9.7,135.0,3.7,33.0,0.9
