countyFIPS,Estimate!!MARITAL STATUS!!Males 15 years and over,Percent Estimate!!MARITAL STATUS!!Males 15 years and over,Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,Estimate!!MARITAL STATUS!!Females 15 years and over,Percent Estimate!!MARITAL STATUS!!Females 15 years and over,Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced
6073,1351289.0,1351289.0,543381.0,40.2,649697.0,48.1,19095.0,1.4,27680.0,2.0,111436.0,8.2,1343701.0,1343701.0,421060.0,31.3,628472.0,46.8,28478.0,2.1,100196.0,7.5,165495.0,12.3
6075,392600.0,392600.0,195721.0,49.9,159144.0,40.5,4861.0,1.2,6954.0,1.8,25920.0,6.6,377265.0,377265.0,157371.0,41.7,149741.0,39.7,5786.0,1.5,28848.0,7.6,35519.0,9.4
6077,279096.0,279096.0,107033.0,38.3,136110.0,48.8,5539.0,2.0,7055.0,2.5,23359.0,8.4,286021.0,286021.0,90732.0,31.7,133154.0,46.6,7808.0,2.7,24433.0,8.5,29894.0,10.5
6079,121410.0,121410.0,47646.0,39.2,58063.0,47.8,1999.0,1.6,3013.0,2.5,10689.0,8.8,118183.0,118183.0,36046.0,30.5,56035.0,47.4,2120.0,1.8,9331.0,7.9,14651.0,12.4
6081,308863.0,308863.0,110565.0,35.8,167542.0,54.2,3309.0,1.1,6398.0,2.1,21049.0,6.8,321985.0,321985.0,94367.0,29.3,163124.0,50.7,5849.0,1.8,26039.0,8.1,32606.0,10.1
6083,179993.0,179993.0,77255.0,42.9,82670.0,45.9,2757.0,1.5,4040.0,2.2,13271.0,7.4,180692.0,180692.0,65011.0,36.0,79180.0,43.8,3576.0,2.0,13086.0,7.2,19839.0,11.0
6085,784643.0,784643.0,293130.0,37.4,421288.0,53.7,9280.0,1.2,13154.0,1.7,47791.0,6.1,774729.0,774729.0,228862.0,29.5,407104.0,52.5,13332.0,1.7,53654.0,6.9,71777.0,9.3
6087,112915.0,112915.0,47776.0,42.3,52245.0,46.3,1079.0,1.0,2015.0,1.8,9800.0,8.7,116288.0,116288.0,41924.0,36.1,50307.0,43.3,1873.0,1.6,7677.0,6.6,14507.0,12.5
6089,71628.0,71628.0,21876.0,30.5,36638.0,51.2,1240.0,1.7,2593.0,3.6,9281.0,13.0,75544.0,75544.0,17620.0,23.3,37350.0,49.4,1254.0,1.7,7526.0,10.0,11794.0,15.6
6091,1321.0,1321.0,468.0,35.4,593.0,44.9,42.0,3.2,12.0,0.9,206.0,15.6,1233.0,1233.0,325.0,26.4,538.0,43.6,36.0,2.9,120.0,9.7,214.0,17.4
6093,18015.0,18015.0,5139.0,28.5,9252.0,51.4,213.0,1.2,821.0,4.6,2590.0,14.4,18264.0,18264.0,4022.0,22.0,9110.0,49.9,300.0,1.6,2050.0,11.2,2782.0,15.2
6095,175866.0,175866.0,65627.0,37.3,86359.0,49.1,3425.0,1.9,4204.0,2.4,16251.0,9.2,180715.0,180715.0,52391.0,29.0,84796.0,46.9,4996.0,2.8,14539.0,8.0,23993.0,13.3
6097,202707.0,202707.0,72399.0,35.7,100157.0,49.4,3148.0,1.6,4676.0,2.3,22327.0,11.0,215323.0,215323.0,62385.0,29.0,99857.0,46.4,3801.0,1.8,17352.0,8.1,31928.0,14.8
6099,204596.0,204596.0,76220.0,37.3,102409.0,50.1,3703.0,1.8,4826.0,2.4,17438.0,8.5,212457.0,212457.0,64691.0,30.4,99596.0,46.9,5647.0,2.7,16698.0,7.9,25825.0,12.2
6101,36952.0,36952.0,11378.0,30.8,20324.0,55.0,547.0,1.5,951.0,2.6,3752.0,10.2,38056.0,38056.0,8840.0,23.2,19774.0,52.0,1004.0,2.6,3371.0,8.9,5067.0,13.3
6103,25018.0,25018.0,8066.0,32.2,12482.0,49.9,582.0,2.3,971.0,3.9,2917.0,11.7,25742.0,25742.0,6029.0,23.4,12993.0,50.5,717.0,2.8,2335.0,9.1,3668.0,14.2
6105,5663.0,5663.0,1571.0,27.7,2783.0,49.1,100.0,1.8,261.0,4.6,948.0,16.7,5459.0,5459.0,949.0,17.4,2918.0,53.5,84.0,1.5,687.0,12.6,821.0,15.0
6107,168821.0,168821.0,67936.0,40.2,80718.0,47.8,3357.0,2.0,4161.0,2.5,12649.0,7.5,171531.0,171531.0,58072.0,33.9,78689.0,45.9,4793.0,2.8,13156.0,7.7,16821.0,9.8
6109,24277.0,24277.0,7529.0,31.0,11923.0,49.1,662.0,2.7,934.0,3.8,3229.0,13.3,22213.0,22213.0,4637.0,20.9,11653.0,52.5,525.0,2.4,2488.0,11.2,2910.0,13.1
6111,336245.0,336245.0,126022.0,37.5,171651.0,51.0,4561.0,1.4,8180.0,2.4,25831.0,7.7,347507.0,347507.0,104894.0,30.2,168771.0,48.6,6587.0,1.9,26296.0,7.6,40959.0,11.8
6113,85124.0,85124.0,36992.0,43.5,39516.0,46.4,1269.0,1.5,1837.0,2.2,5510.0,6.5,91716.0,91716.0,36377.0,39.7,38508.0,42.0,2276.0,2.5,5090.0,5.5,9465.0,10.3
6115,29245.0,29245.0,10627.0,36.3,14398.0,49.2,356.0,1.2,865.0,3.0,2999.0,10.3,28511.0,28511.0,7328.0,25.7,14490.0,50.8,805.0,2.8,2202.0,7.7,3686.0,12.9
8001,192482.0,192482.0,70540.0,36.6,94371.0,49.0,2875.0,1.5,4456.0,2.3,20240.0,10.5,190789.0,190789.0,56171.0,29.4,92299.0,48.4,4751.0,2.5,12108.0,6.3,25460.0,13.3
8003,6502.0,6502.0,2960.0,45.5,2696.0,41.5,144.0,2.2,128.0,2.0,574.0,8.8,6583.0,6583.0,2227.0,33.8,2956.0,44.9,64.0,1.0,531.0,8.1,805.0,12.2
8005,249161.0,249161.0,87759.0,35.2,129088.0,51.8,3131.0,1.3,4437.0,1.8,24746.0,9.9,259805.0,259805.0,74235.0,28.6,127813.0,49.2,4377.0,1.7,16371.0,6.3,37009.0,14.2
8007,5546.0,5546.0,1265.0,22.8,3411.0,61.5,68.0,1.2,115.0,2.1,687.0,12.4,5474.0,5474.0,829.0,15.1,3198.0,58.4,107.0,2.0,435.0,7.9,905.0,16.5
8009,1431.0,1431.0,300.0,21.0,898.0,62.8,34.0,2.4,43.0,3.0,156.0,10.9,1513.0,1513.0,227.0,15.0,894.0,59.1,22.0,1.5,208.0,13.7,162.0,10.7
8011,3435.0,3435.0,1357.0,39.5,1332.0,38.8,130.0,3.8,119.0,3.5,497.0,14.5,1639.0,1639.0,225.0,13.7,916.0,55.9,49.0,3.0,213.0,13.0,236.0,14.4
8013,134948.0,134948.0,56315.0,41.7,62841.0,46.6,1251.0,0.9,2204.0,1.6,12337.0,9.1,134447.0,134447.0,46164.0,34.3,62089.0,46.2,1489.0,1.1,7459.0,5.5,17246.0,12.8
8015,8937.0,8937.0,2565.0,28.7,4933.0,55.2,203.0,2.3,252.0,2.8,984.0,11.0,7723.0,7723.0,1272.0,16.5,4540.0,58.8,78.0,1.0,659.0,8.5,1174.0,15.2
8017,718.0,718.0,204.0,28.4,416.0,57.9,1.0,0.1,25.0,3.5,72.0,10.0,763.0,763.0,152.0,19.9,420.0,55.0,3.0,0.4,115.0,15.1,73.0,9.6
8019,4172.0,4172.0,999.0,23.9,2314.0,55.5,18.0,0.4,103.0,2.5,738.0,17.7,4076.0,4076.0,727.0,17.8,2444.0,60.0,14.0,0.3,333.0,8.2,558.0,13.7
8021,3193.0,3193.0,860.0,26.9,1670.0,52.3,76.0,2.4,194.0,6.1,393.0,12.3,3154.0,3154.0,765.0,24.3,1595.0,50.6,65.0,2.1,398.0,12.6,331.0,10.5
8023,1642.0,1642.0,447.0,27.2,768.0,46.8,33.0,2.0,104.0,6.3,290.0,17.7,1519.0,1519.0,269.0,17.7,724.0,47.7,21.0,1.4,214.0,14.1,291.0,19.2
