countyFIPS,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
12065,11791.0,11791.0,1933.0,16.4,2320.0,2320.0,124.0,5.3,6549.0,6549.0,851.0,13.0,2922.0,2922.0,958.0,32.8
12067,7204.0,7204.0,1238.0,17.2,1966.0,1966.0,22.0,1.1,4122.0,4122.0,516.0,12.5,1116.0,1116.0,700.0,62.7
12069,331957.0,331957.0,54527.0,16.4,65389.0,65389.0,2734.0,4.2,179335.0,179335.0,22764.0,12.7,87233.0,87233.0,29029.0,33.3
12071,713427.0,713427.0,97224.0,13.6,129810.0,129810.0,5014.0,3.9,387827.0,387827.0,37235.0,9.6,195790.0,195790.0,54975.0,28.1
12073,284753.0,284753.0,32388.0,11.4,53885.0,53885.0,2812.0,5.2,195995.0,195995.0,17646.0,9.0,34873.0,34873.0,11930.0,34.2
12075,39679.0,39679.0,7907.0,19.9,7944.0,7944.0,631.0,7.9,22437.0,22437.0,3691.0,16.5,9298.0,9298.0,3585.0,38.6
12077,6954.0,6954.0,1702.0,24.5,1322.0,1322.0,113.0,8.5,4370.0,4370.0,822.0,18.8,1262.0,1262.0,767.0,60.8
12079,16422.0,16422.0,3143.0,19.1,3441.0,3441.0,65.0,1.9,9520.0,9520.0,1693.0,17.8,3461.0,3461.0,1385.0,40.0
12081,370913.0,370913.0,52321.0,14.1,70261.0,70261.0,3466.0,4.9,202866.0,202866.0,20457.0,10.1,97786.0,97786.0,28398.0,29.0
12083,339473.0,339473.0,61566.0,18.1,65016.0,65016.0,3959.0,6.1,176788.0,176788.0,24529.0,13.9,97669.0,97669.0,33078.0,33.9
12085,154467.0,154467.0,23501.0,15.2,26211.0,26211.0,992.0,3.8,81681.0,81681.0,8642.0,10.6,46575.0,46575.0,13867.0,29.8
12086,2690040.0,2690040.0,272374.0,10.1,554018.0,554018.0,18217.0,3.3,1720271.0,1720271.0,115092.0,6.7,415751.0,415751.0,139065.0,33.4
12087,74327.0,74327.0,8258.0,11.1,11528.0,11528.0,319.0,2.8,46681.0,46681.0,3923.0,8.4,16118.0,16118.0,4016.0,24.9
12089,79567.0,79567.0,12725.0,16.0,16156.0,16156.0,717.0,4.4,46833.0,46833.0,6377.0,13.6,16578.0,16578.0,5631.0,34.0
12091,188311.0,188311.0,28685.0,15.2,44367.0,44367.0,2353.0,5.3,113481.0,113481.0,14756.0,13.0,30463.0,30463.0,11576.0,38.0
12093,37623.0,37623.0,5717.0,15.2,8402.0,8402.0,422.0,5.0,21683.0,21683.0,3000.0,13.8,7538.0,7538.0,2295.0,30.4
12095,1309805.0,1309805.0,142450.0,10.9,296546.0,296546.0,13756.0,4.6,866116.0,866116.0,76179.0,8.8,147143.0,147143.0,52515.0,35.7
12097,337036.0,337036.0,48457.0,14.4,83887.0,83887.0,5911.0,7.0,210748.0,210748.0,25999.0,12.3,42401.0,42401.0,16547.0,39.0
12099,1433604.0,1433604.0,176163.0,12.3,279555.0,279555.0,8978.0,3.2,821941.0,821941.0,65286.0,7.9,332108.0,332108.0,101899.0,30.7
12101,504686.0,504686.0,81812.0,16.2,104038.0,104038.0,5635.0,5.4,287803.0,287803.0,36484.0,12.7,112845.0,112845.0,39693.0,35.2
12103,946661.0,946661.0,145083.0,15.3,159147.0,159147.0,6923.0,4.4,564884.0,564884.0,64526.0,11.4,222630.0,222630.0,73634.0,33.1
12105,660644.0,660644.0,101896.0,15.4,149577.0,149577.0,8603.0,5.8,379520.0,379520.0,47620.0,12.5,131547.0,131547.0,45673.0,34.7
12107,71607.0,71607.0,12899.0,18.0,15569.0,15569.0,927.0,6.0,40031.0,40031.0,6331.0,15.8,16007.0,16007.0,5641.0,35.2
12109,233891.0,233891.0,26398.0,11.3,51273.0,51273.0,1872.0,3.7,137823.0,137823.0,11828.0,8.6,44795.0,44795.0,12698.0,28.3
12111,303304.0,303304.0,47475.0,15.7,61976.0,61976.0,3175.0,5.1,170904.0,170904.0,19838.0,11.6,70424.0,70424.0,24462.0,34.7
12113,161516.0,161516.0,25635.0,15.9,37813.0,37813.0,1945.0,5.1,98027.0,98027.0,12985.0,13.2,25676.0,25676.0,10705.0,41.7
12115,408311.0,408311.0,63336.0,15.5,59957.0,59957.0,2233.0,3.7,204975.0,204975.0,19489.0,9.5,143379.0,143379.0,41614.0,29.0
12117,451979.0,451979.0,46549.0,10.3,96713.0,96713.0,3866.0,4.0,289059.0,289059.0,22770.0,7.9,66207.0,66207.0,19913.0,30.1
12119,111788.0,111788.0,21913.0,19.6,8791.0,8791.0,429.0,4.9,36240.0,36240.0,4528.0,12.5,66757.0,66757.0,16956.0,25.4
12121,42426.0,42426.0,8263.0,19.5,9548.0,9548.0,661.0,6.9,24400.0,24400.0,4101.0,16.8,8478.0,8478.0,3501.0,41.3
12123,18239.0,18239.0,4134.0,22.7,4236.0,4236.0,354.0,8.4,9993.0,9993.0,2240.0,22.4,4010.0,4010.0,1540.0,38.4
